[2339, 1653]
[paragraph, [452.0, 239.0, 953.0, 36.0], shoonya_2sWK7Q4K0MBGR4, 5685997]
[paragraph, [452.0, 275.0, 953.0, 36.0], shoonya_2sWK7Q4K0MBGR4, 5685997]
[paragraph, [452.0, 311.0, 953.0, 36.0], shoonya_2sWK7Q4K0MBGR4, 5685997]
[paragraph, [245.0, 440.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 476.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 512.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 548.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 584.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 620.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 656.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 692.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 728.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 764.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 800.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 836.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 872.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 908.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 944.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 980.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 1016.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 1052.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 1088.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [245.0, 1124.0, 1162.0, 36.0], shoonya_0sEAF3L38JFA8H, 5685997]
[paragraph, [244.0, 1207.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1243.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1279.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1315.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1351.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1387.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1423.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1459.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1495.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1531.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1567.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1603.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1639.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1675.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1711.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1747.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[paragraph, [244.0, 1783.0, 1164.0, 36.0], shoonya_1sPL4KQBM0IYAO, 5685997]
[reference, [248.0, 1970.0, 546.0, 36.0], shoonya_5sHR2EUZBR5IBC, 5685997]
[reference, [248.0, 2006.0, 546.0, 36.0], shoonya_5sHR2EUZBR5IBC, 5685997]
[reference, [248.0, 2042.0, 546.0, 36.0], shoonya_5sHR2EUZBR5IBC, 5685997]
[reference, [248.0, 2078.0, 546.0, 36.0], shoonya_5sHR2EUZBR5IBC, 5685997]
