[2481, 1654]
[folio, [1188.0, 99.0, 124.0, 36.0], EWkysEkg6U, 5721844]
[paragraph, [155.0, 212.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 248.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 284.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 320.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 356.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 392.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [155.0, 428.0, 1283.0, 36.0], Eigs0k32e7, 5721844]
[paragraph, [152.0, 487.0, 1294.0, 36.0], kk_YNyCZ-y, 5721844]
[paragraph, [152.0, 523.0, 1294.0, 36.0], kk_YNyCZ-y, 5721844]
[paragraph, [157.0, 591.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 627.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 663.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 699.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 735.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 771.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [157.0, 807.0, 1285.0, 36.0], J9eFzFiEZY, 5721844]
[paragraph, [163.0, 858.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 894.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 930.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 966.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 1002.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 1038.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [163.0, 1074.0, 1277.0, 36.0], J3x4k2Cjm9, 5721844]
[paragraph, [161.0, 1126.0, 1277.0, 36.0], 4JiqFNE9tz, 5721844]
[paragraph, [161.0, 1162.0, 1277.0, 36.0], 4JiqFNE9tz, 5721844]
[paragraph, [161.0, 1198.0, 1277.0, 36.0], 4JiqFNE9tz, 5721844]
[paragraph, [161.0, 1234.0, 1277.0, 36.0], 4JiqFNE9tz, 5721844]
[paragraph, [167.0, 1294.0, 1263.0, 36.0], kXBNjcyNc1, 5721844]
[paragraph, [167.0, 1330.0, 1263.0, 36.0], kXBNjcyNc1, 5721844]
[paragraph, [167.0, 1366.0, 1263.0, 36.0], kXBNjcyNc1, 5721844]
[paragraph, [167.0, 1402.0, 1263.0, 36.0], kXBNjcyNc1, 5721844]
[paragraph, [229.0, 1449.0, 512.0, 36.0], k2iHypMs4a, 5721844]
[paragraph, [159.0, 1503.0, 1275.0, 36.0], G24gR9aCwS, 5721844]
[paragraph, [159.0, 1539.0, 1275.0, 36.0], G24gR9aCwS, 5721844]
[paragraph, [159.0, 1575.0, 1275.0, 36.0], G24gR9aCwS, 5721844]
[paragraph, [159.0, 1611.0, 1275.0, 36.0], G24gR9aCwS, 5721844]
[paragraph, [159.0, 1647.0, 1275.0, 36.0], G24gR9aCwS, 5721844]
[paragraph, [165.0, 1714.0, 786.0, 36.0], shoonya_1sVGNL97EXE1XD, 5721844]
[paragraph, [166.0, 1771.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1807.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1843.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1879.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1915.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1951.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 1987.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 2023.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 2059.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 2095.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
[paragraph, [166.0, 2131.0, 1264.0, 36.0], shoonya_2sKC1EK39CV94K, 5721844]
