[1725, 1313]
[headline, [123.0, 129.0, 497.0, 37.5], shoonya_3sXJ8M63V720BE, 5771419]
[headline, [123.0, 166.5, 497.0, 37.5], shoonya_3sXJ8M63V720BE, 5771419]
[headline, [123.0, 204.0, 497.0, 37.5], shoonya_3sXJ8M63V720BE, 5771419]
[headline, [123.0, 241.5, 497.0, 37.5], shoonya_3sXJ8M63V720BE, 5771419]
[paragraph, [109.0, 295.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 331.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 367.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 403.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 439.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 475.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[paragraph, [109.0, 511.0, 551.0, 36.0], l3wYzgDOLv, 5771419]
[unordered-list, [692.0, 580.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 616.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 652.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 688.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 724.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 760.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 796.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 832.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 868.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 904.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 940.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 976.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 1012.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 1048.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 1084.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 1120.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [692.0, 1156.0, 513.0, 36.0], shoonya_2sTQE4HALHA0MX, 5771419]
[unordered-list, [137.0, 622.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 658.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 694.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 730.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 766.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 802.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 838.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 874.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 910.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 946.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 982.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[unordered-list, [137.0, 1018.0, 527.0, 36.0], shoonya_8sV9N2WXXHI4I9, 5771419]
[sub-section-title, [728.0, 1205.0, 398.0, 36.0], shoonya_9sUOTLJM92YEQT, 5771419]
[paragraph, [739.0, 1249.0, 462.0, 36.0], shoonya_6sLOTJW0Z1DW0E, 5771419]
[paragraph, [739.0, 1285.0, 462.0, 36.0], shoonya_6sLOTJW0Z1DW0E, 5771419]
[paragraph, [739.0, 1321.0, 462.0, 36.0], shoonya_6sLOTJW0Z1DW0E, 5771419]
[paragraph, [731.0, 1384.0, 471.0, 36.0], shoonya_7s8MG7ZCJII7JL, 5771419]
[paragraph, [731.0, 1420.0, 471.0, 36.0], shoonya_7s8MG7ZCJII7JL, 5771419]
[paragraph, [731.0, 1456.0, 471.0, 36.0], shoonya_7s8MG7ZCJII7JL, 5771419]
[paragraph, [731.0, 1492.0, 471.0, 36.0], shoonya_7s8MG7ZCJII7JL, 5771419]
[author, [1093.0, 1516.0, 111.0, 36.0], tmmjT6j80n, 5771419]
[folio, [567.0, 1570.0, 165.0, 36.0], 2fjXIF8v0a, 5771419]
[folio, [59.0, 1670.0, 340.0, 36.0], shoonya_5sP3RLP9VYA8T0, 5771419]
