[1200, 1650]
[paragraph, [734.0, 220.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 238.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 256.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 274.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 292.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 310.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 328.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 346.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 364.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 382.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 400.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 418.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 436.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 454.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 472.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 490.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 508.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 526.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 544.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 562.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 580.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 598.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 616.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 634.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 652.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 670.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 688.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 706.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 724.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 742.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 760.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 778.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 796.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 814.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 832.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 850.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 868.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 886.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 904.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 922.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 940.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 958.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 976.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 994.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 1012.0, 859.0, 18.0], Qe3xrOU388, 5716058]
[paragraph, [734.0, 1030.0, 859.0, 18.0], Qe3xrOU388, 5716058]
