[842, 596]
[ordered-list, [58.0, 47.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 65.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 83.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 101.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 119.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 137.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 155.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 173.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 191.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 209.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 227.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 245.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 263.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 281.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 299.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 317.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 335.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 353.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[ordered-list, [58.0, 371.0, 510.0, 18.0], shoonya_3sN2TB1LCTQNJE, 5658207]
[sub-ordered-list, [105.0, 110.0, 455.0, 18.0], shoonya_1s1F5VW17MQ006, 5658207]
[sub-ordered-list, [105.0, 128.0, 455.0, 18.0], shoonya_1s1F5VW17MQ006, 5658207]
[sub-ordered-list, [105.0, 146.0, 455.0, 18.0], shoonya_1s1F5VW17MQ006, 5658207]
[sub-ordered-list, [105.0, 164.0, 455.0, 18.0], shoonya_1s1F5VW17MQ006, 5658207]
[sub-ordered-list, [105.0, 182.0, 455.0, 18.0], shoonya_1s1F5VW17MQ006, 5658207]
[paragraph, [59.0, 404.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 422.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 440.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 458.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 476.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 494.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 512.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 530.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 548.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 566.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 584.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 602.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 620.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 638.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 656.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 674.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 692.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 710.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[paragraph, [59.0, 728.0, 507.0, 18.0], shoonya_0s7ATWEI9XL70F, 5658207]
[footnote, [77.0, 773.0, 470.0, 18.0], shoonya_4sWY4J1U2ZU5PN, 5658207]
[footnote, [77.0, 791.0, 470.0, 18.0], shoonya_4sWY4J1U2ZU5PN, 5658207]
