[1326, 829]
[headline, [319.0, 102.0, 146.0, 25.5], kQleZXYpme, 5770739]
[paragraph, [72.0, 166.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [72.0, 184.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [72.0, 202.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [72.0, 220.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [72.0, 238.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [72.0, 256.0, 342.0, 18.0], h6wEBENcEO, 5770739]
[paragraph, [418.0, 167.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 185.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 203.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 221.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 239.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 257.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 275.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 293.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [418.0, 311.0, 335.0, 18.0], DJtO5e9nHd, 5770739]
[paragraph, [74.0, 280.0, 338.0, 18.0], _lx4eUmk2X, 5770739]
[paragraph, [74.0, 298.0, 338.0, 18.0], _lx4eUmk2X, 5770739]
[paragraph, [74.0, 316.0, 338.0, 18.0], _lx4eUmk2X, 5770739]
[paragraph, [74.0, 334.0, 338.0, 18.0], _lx4eUmk2X, 5770739]
[paragraph, [418.0, 328.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [418.0, 346.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [418.0, 364.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [418.0, 382.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [418.0, 400.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [418.0, 418.0, 336.0, 18.0], l_8dWKmpgL, 5770739]
[paragraph, [75.0, 356.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 374.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 392.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 410.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 428.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 446.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 464.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 482.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 500.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 518.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 536.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 554.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 572.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 590.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 608.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 626.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 644.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 662.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 680.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 698.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 716.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 734.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 752.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [75.0, 770.0, 337.0, 18.0], Gqv2-gQcVK, 5770739]
[paragraph, [418.0, 431.0, 335.0, 18.0], ew2i_f7GuU, 5770739]
[paragraph, [418.0, 449.0, 335.0, 18.0], ew2i_f7GuU, 5770739]
[paragraph, [418.0, 467.0, 335.0, 18.0], ew2i_f7GuU, 5770739]
[paragraph, [418.0, 485.0, 335.0, 18.0], ew2i_f7GuU, 5770739]
[paragraph, [418.0, 503.0, 335.0, 18.0], ew2i_f7GuU, 5770739]
