[2338, 1654]
[paragraph, [184.0, 193.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 229.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 265.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 301.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 337.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 373.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 409.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 445.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 481.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 517.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 553.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 589.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 625.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 661.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 697.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [184.0, 733.0, 1278.0, 36.0], shoonya_0s3ZW2GTW4I917, 5753750]
[paragraph, [187.0, 779.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 815.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 851.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 887.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 923.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 959.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 995.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1031.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1067.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1103.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1139.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1175.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1211.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1247.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1283.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1319.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1355.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1391.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1427.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1463.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1499.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1535.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1571.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1607.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1643.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1679.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1715.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1751.0, 1274.0, 36.0], shoonya_1sIBJUGVNFJ39U, 5753750]
[paragraph, [187.0, 1836.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
[paragraph, [187.0, 1872.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
[paragraph, [187.0, 1908.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
[paragraph, [187.0, 1944.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
[paragraph, [187.0, 1980.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
[paragraph, [187.0, 2016.0, 1272.0, 36.0], shoonya_2sKFPLWKXCYSOM, 5753750]
