[842, 596]
[paragraph, [115.0, 56.0, 119.0, 18.0], hsPd5BwDE9, 5658021]
[ordered-list, [74.0, 91.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 109.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 127.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 145.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 163.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 181.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 199.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 217.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 235.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 253.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 271.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 289.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 307.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 325.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 343.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 361.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 379.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 397.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 415.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 433.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 451.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 469.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 487.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 505.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 523.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 541.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 559.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 577.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 595.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 613.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 631.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 649.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 667.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 685.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[ordered-list, [74.0, 703.0, 457.0, 18.0], shoonya_0sCFUT05CI1FJJ, 5658021]
[footnote, [74.0, 776.0, 472.0, 18.0], MM6nlCne_m, 5658021]
