[1300, 900]
[folio, [262.0, 50.0, 411.0, 18.0], iDfCB5ZFRn, 5730590]
[paragraph, [109.0, 113.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 131.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 149.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 167.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 185.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 203.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 221.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 239.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 257.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 275.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 293.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 311.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 329.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 347.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 365.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [109.0, 383.0, 707.0, 18.0], shoonya_2sYMNOA6KV6RGC, 5730590]
[paragraph, [229.0, 417.0, 471.0, 18.0], shoonya_5sZODVJLNBU3JM, 5730590]
[paragraph, [229.0, 435.0, 471.0, 18.0], shoonya_5sZODVJLNBU3JM, 5730590]
[paragraph, [229.0, 453.0, 471.0, 18.0], shoonya_5sZODVJLNBU3JM, 5730590]
[paragraph, [229.0, 471.0, 471.0, 18.0], shoonya_5sZODVJLNBU3JM, 5730590]
[paragraph, [639.0, 508.0, 166.0, 18.0], shoonya_7s1LSPO8YOP7BE, 5730590]
[paragraph, [109.0, 540.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 558.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 576.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 594.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 612.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 630.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [109.0, 648.0, 704.0, 18.0], shoonya_6sVZHTN4UB460N, 5730590]
[paragraph, [103.0, 673.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 691.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 709.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 727.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 745.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 763.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 781.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 799.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 817.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 835.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 853.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 871.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 889.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 907.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [103.0, 925.0, 712.0, 18.0], fJKQlBlPoR, 5730590]
[paragraph, [100.0, 965.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 983.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1001.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1019.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1037.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1055.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1073.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1091.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1109.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1127.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1145.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1163.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1181.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1199.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1217.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
[paragraph, [100.0, 1235.0, 705.0, 18.0], shoonya_0sR9W1TJ7C3FT0, 5730590]
