[2094, 1567]
[paragraph, [814.0, 108.0, 725.0, 36.0], oSCGYk085Y, 5712956]
[paragraph, [814.0, 144.0, 725.0, 36.0], oSCGYk085Y, 5712956]
[paragraph, [814.0, 180.0, 725.0, 36.0], oSCGYk085Y, 5712956]
[paragraph, [814.0, 216.0, 725.0, 36.0], oSCGYk085Y, 5712956]
[paragraph, [68.0, 174.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 210.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 246.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 282.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 318.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 354.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 390.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 426.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 462.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 498.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 534.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 570.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 606.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 642.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 678.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 714.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 750.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 786.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 822.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 858.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [68.0, 894.0, 734.0, 36.0], shoonya_5sUALY4576WVOB, 5712956]
[paragraph, [810.0, 286.0, 539.0, 36.0], 2xLFlPKu4I, 5712956]
[paragraph, [810.0, 322.0, 539.0, 36.0], 2xLFlPKu4I, 5712956]
[paragraph, [810.0, 358.0, 539.0, 36.0], 2xLFlPKu4I, 5712956]
[paragraph, [810.0, 394.0, 539.0, 36.0], 2xLFlPKu4I, 5712956]
[paragraph, [810.0, 430.0, 539.0, 36.0], 2xLFlPKu4I, 5712956]
[author, [816.0, 499.0, 718.0, 36.0], shoonya_14sP8IUH3S8RNR, 5712956]
[author, [816.0, 535.0, 718.0, 36.0], shoonya_14sP8IUH3S8RNR, 5712956]
[paragraph, [810.0, 629.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 665.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 701.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 737.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 773.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 809.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 845.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
[paragraph, [810.0, 881.0, 728.0, 36.0], shoonya_0sDUUP3KRAB0B1, 5712956]
