[982, 1875]
[headline, [678.0, 192.0, 521.0, 25.5], N66iG1CtYP, 5726215]
[headline, [678.0, 217.5, 521.0, 25.5], N66iG1CtYP, 5726215]
[folio, [927.0, 316.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 334.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 352.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 370.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 388.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 406.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 424.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 442.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 460.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 478.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 496.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 514.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 532.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 550.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 568.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 586.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 604.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 622.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 640.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 658.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 676.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 694.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 712.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 730.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 748.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 766.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 784.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[folio, [927.0, 802.0, 626.0, 18.0], DTdnEC6Jzz, 5726215]
[paragraph, [241.0, 434.0, 549.0, 18.0], D67OkJNVTl, 5726215]
[paragraph, [241.0, 452.0, 549.0, 18.0], D67OkJNVTl, 5726215]
[paragraph, [241.0, 470.0, 549.0, 18.0], D67OkJNVTl, 5726215]
[paragraph, [241.0, 488.0, 549.0, 18.0], D67OkJNVTl, 5726215]
[paragraph, [241.0, 506.0, 549.0, 18.0], D67OkJNVTl, 5726215]
[paragraph, [241.0, 524.0, 549.0, 18.0], D67OkJNVTl, 5726215]
