[3835, 2318]
[paragraph, [69.0, 369.0, 2157.0, 52.5], shoonya_4sVD8SRA0BK538, 5720233]
[paragraph, [69.0, 421.5, 2157.0, 52.5], shoonya_4sVD8SRA0BK538, 5720233]
[paragraph, [69.0, 474.0, 2157.0, 52.5], shoonya_4sVD8SRA0BK538, 5720233]
[paragraph, [69.0, 526.5, 2157.0, 52.5], shoonya_4sVD8SRA0BK538, 5720233]
[paragraph, [56.0, 633.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 685.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 738.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 790.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 843.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 895.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 948.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1000.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1053.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1105.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1158.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1210.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1263.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1315.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1368.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1420.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1473.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1525.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1578.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1630.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1683.0, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[paragraph, [56.0, 1735.5, 2182.0, 52.5], shoonya_0sDE5ID2ERYZCT, 5720233]
[section-title, [843.0, 2201.0, 591.0, 93.0], 9Vq-AmlKAD, 5720233]
[paragraph, [57.0, 2397.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2449.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2502.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2554.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2607.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2659.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2712.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2764.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2817.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2869.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2922.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 2974.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3027.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3079.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3132.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3184.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3237.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3289.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3342.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3394.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3447.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3499.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3552.0, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
[paragraph, [57.0, 3604.5, 2175.0, 52.5], shoonya_1sWO7JRIZ7IN4J, 5720233]
