[792, 612]
[folio, [230.0, 45.0, 125.0, 18.0], 3szmNAnuJQ, 6495066]
[paragraph, [175.0, 74.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 92.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 110.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 128.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 146.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 164.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 182.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 200.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 218.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 236.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 254.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 272.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 290.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 308.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 326.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 344.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 362.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 380.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [175.0, 398.0, 213.0, 18.0], DJowinwCQY, 6495066]
[paragraph, [176.0, 436.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 454.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 472.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 490.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 508.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 526.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 544.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 562.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 580.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 598.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 616.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 634.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 652.0, 203.0, 18.0], HSKajGe74s, 6495066]
[paragraph, [176.0, 670.0, 203.0, 18.0], HSKajGe74s, 6495066]
