[842, 595]
[author, [340.0, 230.0, 114.0, 18.0], shoonya_5sAQNBBQXT04F5, 6513816]
[paragraph, [128.0, 255.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 273.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 291.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 309.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 327.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 345.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [128.0, 363.0, 328.0, 18.0], shoonya_2sMMRCIL8U2RB7, 6513816]
[paragraph, [129.0, 397.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 415.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 433.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 451.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 469.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 487.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 505.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 523.0, 326.0, 18.0], shoonya_1s3JX61W6827B3, 6513816]
[paragraph, [129.0, 553.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
[paragraph, [129.0, 571.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
[paragraph, [129.0, 589.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
[paragraph, [129.0, 607.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
[paragraph, [129.0, 625.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
[paragraph, [129.0, 643.0, 327.0, 18.0], shoonya_0s0QSQ5ZL26R65, 6513816]
