[584, 393]
[section-title, [67.0, 89.0, 260.0, 30.0], shoonya_2sC3MKN858G60G, 5726008]
[paragraph, [32.0, 170.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [32.0, 188.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [32.0, 206.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [32.0, 224.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [32.0, 242.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [32.0, 260.0, 328.0, 18.0], shoonya_0sKDX1F37PQB9E, 5726008]
[paragraph, [33.0, 293.0, 327.0, 18.0], shoonya_1sSTEUJCGCO1LR, 5726008]
[paragraph, [33.0, 311.0, 327.0, 18.0], shoonya_1sSTEUJCGCO1LR, 5726008]
[paragraph, [33.0, 329.0, 327.0, 18.0], shoonya_1sSTEUJCGCO1LR, 5726008]
[paragraph, [33.0, 347.0, 327.0, 18.0], shoonya_1sSTEUJCGCO1LR, 5726008]
[paragraph, [33.0, 365.0, 327.0, 18.0], shoonya_1sSTEUJCGCO1LR, 5726008]
[paragraph, [32.0, 406.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
[paragraph, [32.0, 424.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
[paragraph, [32.0, 442.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
[paragraph, [32.0, 460.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
[paragraph, [32.0, 478.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
[paragraph, [32.0, 496.0, 327.0, 18.0], shoonya_4sIBH9Z0HTXY20, 5726008]
