[2200, 1700]
[folio, [686.0, 177.0, 225.0, 36.0], shoonya_2sZYQ7DWGQLNTL, 5750047]
[folio, [686.0, 213.0, 225.0, 36.0], shoonya_2sZYQ7DWGQLNTL, 5750047]
[chapter-title, [602.0, 986.0, 391.0, 70.5], 6GOolnRoSE, 5750047]
[paragraph, [266.0, 1100.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1136.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1172.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1208.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1244.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1280.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1316.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1352.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1388.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1424.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1460.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1496.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [266.0, 1532.0, 1033.0, 36.0], shoonya_0sRZP7KBGLRA25, 5750047]
[paragraph, [270.0, 1616.0, 1031.0, 36.0], shoonya_3sT4J5QHWIXBL2, 5750047]
[paragraph, [270.0, 1652.0, 1031.0, 36.0], shoonya_3sT4J5QHWIXBL2, 5750047]
[paragraph, [270.0, 1688.0, 1031.0, 36.0], shoonya_3sT4J5QHWIXBL2, 5750047]
[paragraph, [270.0, 1724.0, 1031.0, 36.0], shoonya_3sT4J5QHWIXBL2, 5750047]
[paragraph, [270.0, 1760.0, 1031.0, 36.0], shoonya_3sT4J5QHWIXBL2, 5750047]
[paragraph, [270.0, 1829.0, 1056.0, 36.0], yBqriD4TQk, 5750047]
[paragraph, [270.0, 1865.0, 1056.0, 36.0], yBqriD4TQk, 5750047]
[paragraph, [270.0, 1901.0, 1056.0, 36.0], yBqriD4TQk, 5750047]
[paragraph, [270.0, 1976.0, 1056.0, 36.0], -nnDM1h36E, 5750047]
[paragraph, [270.0, 2012.0, 1056.0, 36.0], -nnDM1h36E, 5750047]
[paragraph, [270.0, 2048.0, 1056.0, 36.0], -nnDM1h36E, 5750047]
