[842, 596]
[ordered-list, [47.0, 54.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 72.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 90.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 108.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 126.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 144.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 162.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 180.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 198.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 216.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 234.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 252.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 270.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 288.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 306.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 324.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 342.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 360.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 378.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 396.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 414.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 432.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 450.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 468.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 486.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 504.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 522.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 540.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 558.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[ordered-list, [47.0, 576.0, 518.0, 18.0], shoonya_1sCE2HBHLLLSTS, 5658154]
[unordered-list, [64.0, 408.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 426.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 444.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 462.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 480.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 498.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 516.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 534.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 552.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[unordered-list, [64.0, 570.0, 491.0, 18.0], shoonya_2sHMN5RZC5ZMIP, 5658154]
[ordered-list, [67.0, 611.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 629.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 647.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 665.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 683.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 701.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[ordered-list, [67.0, 719.0, 489.0, 18.0], shoonya_0s886XRB7AV9ID, 5658154]
[footnote, [78.0, 776.0, 466.0, 18.0], jouIKZInwI, 5658154]
