[1387, 987]
[paragraph, [43.0, 80.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 98.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 116.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 134.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 152.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 170.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 188.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 206.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 224.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 242.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 260.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 278.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 296.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 314.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 332.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 350.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 368.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 386.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 404.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 422.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 440.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 458.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 476.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 494.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 512.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 530.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 548.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 566.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 584.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [43.0, 602.0, 849.0, 18.0], shoonya_0sTB32FZNQY2EH, 5652724]
[paragraph, [44.0, 626.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 644.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 662.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 680.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 698.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 716.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 734.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 752.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 770.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 788.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 806.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 824.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 842.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 860.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 878.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [44.0, 896.0, 876.0, 18.0], j116hWIEny, 5652724]
[paragraph, [33.0, 920.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 938.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 956.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 974.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 992.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1010.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1028.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1046.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1064.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1082.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1100.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1118.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [33.0, 1136.0, 885.0, 18.0], TcnYQkPcEL, 5652724]
[paragraph, [43.0, 1161.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1179.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1197.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1215.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1233.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1251.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1269.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
[paragraph, [43.0, 1287.0, 879.0, 18.0], EY9q_U8uvh, 5652724]
