[1565, 1152]
[folio, [809.0, 90.0, 200.0, 36.0], q57ttMW0xY, 5712631]
[folio, [809.0, 126.0, 200.0, 36.0], q57ttMW0xY, 5712631]
[headline, [487.0, 284.0, 503.0, 37.5], shoonya_5sN8NI59WONR0K, 5712631]
[headline, [487.0, 321.5, 503.0, 37.5], shoonya_5sN8NI59WONR0K, 5712631]
[paragraph, [426.0, 470.0, 289.0, 36.0], shoonya_11sZJXMM3DSUC5, 5712631]
[paragraph, [426.0, 506.0, 289.0, 36.0], shoonya_11sZJXMM3DSUC5, 5712631]
[paragraph, [426.0, 542.0, 289.0, 36.0], shoonya_11sZJXMM3DSUC5, 5712631]
[paragraph, [728.0, 475.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 511.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 547.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 583.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 619.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 655.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 691.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 727.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 763.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 799.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 835.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 871.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [728.0, 907.0, 278.0, 36.0], shoonya_2sXHN5N9DW63H4, 5712631]
[paragraph, [103.0, 570.0, 313.0, 36.0], shoonya_3sKLHNNMML2Q7O, 5712631]
[paragraph, [103.0, 606.0, 313.0, 36.0], shoonya_3sKLHNNMML2Q7O, 5712631]
[paragraph, [103.0, 642.0, 313.0, 36.0], shoonya_3sKLHNNMML2Q7O, 5712631]
[paragraph, [421.0, 603.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 639.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 675.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 711.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 747.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 783.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [421.0, 819.0, 301.0, 36.0], shoonya_1sY3Z78X6HGTOD, 5712631]
[paragraph, [104.0, 688.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 724.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 760.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 796.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 832.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 868.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 904.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 940.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 976.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 1012.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [104.0, 1048.0, 311.0, 36.0], shoonya_0s4SLE9U9MZF6G, 5712631]
[paragraph, [422.0, 869.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 905.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 941.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 977.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1013.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1049.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1085.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1121.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1157.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1193.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1229.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1265.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1301.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1337.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [422.0, 1373.0, 304.0, 36.0], shoonya_7sBLH98IYKV23D, 5712631]
[paragraph, [734.0, 975.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1011.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1047.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1083.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1119.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1155.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
[paragraph, [734.0, 1191.0, 293.0, 36.0], shoonya_4sAG2QYXUT0VDC, 5712631]
