[1823, 1375]
[folio, [620.0, 103.0, 117.0, 36.0], shoonya_1sU1IHI60VW1F1, 5683484]
[folio, [991.0, 107.0, 277.0, 36.0], shoonya_2s0WNXMKCQYXPW, 5683484]
[paragraph, [697.0, 169.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 205.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 241.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 277.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 313.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 349.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 385.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 421.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 457.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 493.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 529.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 565.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 601.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 637.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 673.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 709.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 745.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 781.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 817.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 853.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 889.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 925.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [697.0, 961.0, 561.0, 36.0], shoonya_5sZVZ1IVGQQ5BZ, 5683484]
[paragraph, [113.0, 171.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 207.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 243.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 279.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 315.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 351.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 387.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 423.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 459.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 495.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 531.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 567.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 603.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 639.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 675.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 711.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 747.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 783.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 819.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 855.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 891.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 927.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
[paragraph, [113.0, 963.0, 562.0, 36.0], shoonya_4s4JNYZW96OY98, 5683484]
