[3508, 2481]
[contact-info, [641.0, 140.0, 1401.0, 52.5], X_CRshgdD7, 6534547]
[contact-info, [641.0, 192.5, 1401.0, 52.5], X_CRshgdD7, 6534547]
[paragraph, [838.0, 278.0, 791.0, 52.5], eyCskvv9kF, 6534547]
[contact-info, [935.0, 359.0, 594.0, 52.5], NijEwpzTwk, 6534547]
[section-title, [1016.0, 541.0, 422.0, 93.0], 7QqfgJD_dn, 6534547]
[dateline, [215.0, 916.0, 422.0, 52.5], T_QSJrXCtY, 6534547]
[paragraph, [222.0, 1186.0, 306.0, 52.5], 8Ca3tSzb5W, 6534547]
[paragraph, [215.0, 1304.0, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [215.0, 1356.5, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [215.0, 1409.0, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [215.0, 1461.5, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [215.0, 1514.0, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [215.0, 1566.5, 2039.0, 52.5], CA0D8TOOnQ, 6534547]
[paragraph, [228.0, 1905.0, 2046.0, 52.5], p_u5TjnFFx, 6534547]
[paragraph, [228.0, 1957.5, 2046.0, 52.5], p_u5TjnFFx, 6534547]
[paragraph, [228.0, 2010.0, 2046.0, 52.5], p_u5TjnFFx, 6534547]
[paragraph, [228.0, 2062.5, 2046.0, 52.5], p_u5TjnFFx, 6534547]
[author, [217.0, 2213.0, 358.0, 52.5], shoonya_0sV6I9JVM3U6YC, 6534547]
[author, [217.0, 2265.5, 358.0, 52.5], shoonya_0sV6I9JVM3U6YC, 6534547]
