[792, 612]
[paragraph, [62.0, 54.0, 159.0, 18.0], shoonya_0sXPTWAS0SL8NA, 6516883]
[paragraph, [62.0, 72.0, 159.0, 18.0], shoonya_0sXPTWAS0SL8NA, 6516883]
[paragraph, [391.0, 54.0, 159.0, 18.0], 6GzDNAG95m, 6516883]
[paragraph, [391.0, 72.0, 159.0, 18.0], 6GzDNAG95m, 6516883]
[paragraph, [391.0, 90.0, 159.0, 18.0], 6GzDNAG95m, 6516883]
[paragraph, [225.0, 70.0, 160.0, 18.0], WkFhefMBsu, 6516883]
[paragraph, [225.0, 88.0, 160.0, 18.0], WkFhefMBsu, 6516883]
[paragraph, [225.0, 106.0, 160.0, 18.0], WkFhefMBsu, 6516883]
[paragraph, [60.0, 98.0, 161.0, 18.0], f1_-9Eqfhn, 6516883]
[paragraph, [60.0, 116.0, 161.0, 18.0], f1_-9Eqfhn, 6516883]
[paragraph, [60.0, 134.0, 161.0, 18.0], f1_-9Eqfhn, 6516883]
[paragraph, [60.0, 152.0, 161.0, 18.0], f1_-9Eqfhn, 6516883]
[paragraph, [391.0, 127.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [391.0, 145.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [391.0, 163.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [391.0, 181.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [391.0, 199.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [391.0, 217.0, 160.0, 18.0], SCFz20RGKN, 6516883]
[paragraph, [226.0, 140.0, 159.0, 18.0], 53-JTVZYGi, 6516883]
[paragraph, [225.0, 168.0, 159.0, 18.0], L8u2SGo_dA, 6516883]
[paragraph, [225.0, 186.0, 159.0, 18.0], L8u2SGo_dA, 6516883]
[paragraph, [225.0, 204.0, 159.0, 18.0], L8u2SGo_dA, 6516883]
[paragraph, [61.0, 181.0, 160.0, 18.0], 6uxrdwo5vj, 6516883]
[paragraph, [61.0, 199.0, 160.0, 18.0], 6uxrdwo5vj, 6516883]
[paragraph, [61.0, 217.0, 160.0, 18.0], 6uxrdwo5vj, 6516883]
[paragraph, [61.0, 235.0, 160.0, 18.0], 6uxrdwo5vj, 6516883]
[paragraph, [390.0, 239.0, 160.0, 18.0], 2DaMalaNea, 6516883]
[paragraph, [390.0, 257.0, 160.0, 18.0], 2DaMalaNea, 6516883]
[paragraph, [225.0, 240.0, 159.0, 18.0], Uplk_XEH17, 6516883]
[paragraph, [225.0, 258.0, 159.0, 18.0], Uplk_XEH17, 6516883]
[paragraph, [61.0, 267.0, 160.0, 18.0], sVuu56m1SD, 6516883]
[paragraph, [61.0, 285.0, 160.0, 18.0], sVuu56m1SD, 6516883]
[paragraph, [61.0, 303.0, 160.0, 18.0], sVuu56m1SD, 6516883]
[paragraph, [225.0, 282.0, 159.0, 18.0], s-Ml0u1jfu, 6516883]
[paragraph, [225.0, 300.0, 159.0, 18.0], s-Ml0u1jfu, 6516883]
[paragraph, [225.0, 318.0, 159.0, 18.0], s-Ml0u1jfu, 6516883]
