[1818, 1374]
[folio, [623.0, 150.0, 130.0, 36.0], shoonya_9s7G972LKCZ8MD, 5682038]
[paragraph, [114.0, 228.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [114.0, 264.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [114.0, 300.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [114.0, 336.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [114.0, 372.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [114.0, 408.0, 563.0, 36.0], shoonya_5sPT1VM69T90XD, 5682038]
[paragraph, [689.0, 231.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 267.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 303.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 339.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 375.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 411.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 447.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 483.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 519.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 555.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 591.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 627.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 663.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [689.0, 699.0, 571.0, 36.0], shoonya_6s9G4W98GTYOXM, 5682038]
[paragraph, [113.0, 480.0, 563.0, 36.0], uYDfMogwi-, 5682038]
[paragraph, [113.0, 516.0, 563.0, 36.0], uYDfMogwi-, 5682038]
[paragraph, [115.0, 564.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 600.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 636.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 672.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 708.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 744.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [115.0, 780.0, 561.0, 36.0], 7bu1m56m2-, 5682038]
[paragraph, [691.0, 771.0, 570.0, 36.0], shoonya_4sM53UITAO08DY, 5682038]
[paragraph, [693.0, 812.0, 559.0, 36.0], XTeiG8F-bb, 5682038]
[paragraph, [693.0, 848.0, 559.0, 36.0], XTeiG8F-bb, 5682038]
[paragraph, [693.0, 884.0, 559.0, 36.0], XTeiG8F-bb, 5682038]
[paragraph, [114.0, 852.0, 561.0, 36.0], shoonya_7sPC1657FYUKOB, 5682038]
[paragraph, [114.0, 888.0, 561.0, 36.0], shoonya_7sPC1657FYUKOB, 5682038]
[paragraph, [114.0, 924.0, 561.0, 36.0], shoonya_7sPC1657FYUKOB, 5682038]
[paragraph, [114.0, 960.0, 561.0, 36.0], shoonya_7sPC1657FYUKOB, 5682038]
[paragraph, [690.0, 933.0, 565.0, 36.0], shoonya_2s6XCQROT94BT3, 5682038]
[paragraph, [690.0, 969.0, 565.0, 36.0], shoonya_2s6XCQROT94BT3, 5682038]
[paragraph, [690.0, 1005.0, 565.0, 36.0], shoonya_2s6XCQROT94BT3, 5682038]
[paragraph, [690.0, 1041.0, 565.0, 36.0], shoonya_2s6XCQROT94BT3, 5682038]
[paragraph, [166.0, 1021.0, 151.0, 36.0], Ns3NO3-Obs, 5682038]
[paragraph, [693.0, 1096.0, 561.0, 36.0], shoonya_3sEZYK8GCB6HFL, 5682038]
[paragraph, [693.0, 1132.0, 561.0, 36.0], shoonya_3sEZYK8GCB6HFL, 5682038]
[paragraph, [693.0, 1168.0, 561.0, 36.0], shoonya_3sEZYK8GCB6HFL, 5682038]
[paragraph, [111.0, 1219.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1255.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1291.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1327.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1363.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1399.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1435.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1471.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1507.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1543.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1579.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1615.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1651.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [111.0, 1687.0, 568.0, 36.0], shoonya_0sV7TARUAJYOZP, 5682038]
[paragraph, [690.0, 1220.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1256.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1292.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1328.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1364.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1400.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1436.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1472.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1508.0, 566.0, 36.0], DzW3_-xh--, 5682038]
[paragraph, [690.0, 1544.0, 566.0, 36.0], DzW3_-xh--, 5682038]
