[576, 360]
[folio, [56.0, 34.0, 83.0, 18.0], Ve_WDmIAuy, 6516921]
[paragraph, [22.0, 57.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 75.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 93.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 111.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 129.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 147.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 165.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 183.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 201.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 219.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 237.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 255.0, 311.0, 18.0], shoonya_0s02ZFPI1THMDN, 6516921]
[paragraph, [22.0, 291.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 309.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 327.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 345.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 363.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 381.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 399.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 417.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 435.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 453.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 471.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 489.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 507.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
[paragraph, [22.0, 525.0, 312.0, 18.0], shoonya_1sMFU0O67WJ8T9, 6516921]
