[1736, 1323]
[paragraph, [667.0, 140.0, 527.0, 36.0], shoonya_9sNCH6SI742PA3, 5771616]
[paragraph, [126.0, 146.0, 527.0, 36.0], shoonya_4sPT1NHZH2P30H, 5771616]
[paragraph, [126.0, 182.0, 527.0, 36.0], shoonya_4sPT1NHZH2P30H, 5771616]
[paragraph, [126.0, 218.0, 527.0, 36.0], shoonya_4sPT1NHZH2P30H, 5771616]
[paragraph, [126.0, 254.0, 527.0, 36.0], shoonya_4sPT1NHZH2P30H, 5771616]
[paragraph, [126.0, 290.0, 527.0, 36.0], shoonya_4sPT1NHZH2P30H, 5771616]
[paragraph, [672.0, 249.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 285.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 321.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 357.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 393.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 429.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 465.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 501.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 537.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [672.0, 573.0, 527.0, 36.0], shoonya_5sYHKG8Y97CL5L, 5771616]
[paragraph, [125.0, 383.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 419.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 455.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 491.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 527.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 563.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 599.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 635.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 671.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [125.0, 707.0, 527.0, 36.0], shoonya_2sXU7X1L5APLP9, 5771616]
[paragraph, [667.0, 651.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [667.0, 687.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [667.0, 723.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [667.0, 759.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [667.0, 795.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [667.0, 831.0, 527.0, 36.0], shoonya_1sX8Z1O2OZM6U4, 5771616]
[paragraph, [130.0, 801.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 837.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 873.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 909.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 945.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 981.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 1017.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [130.0, 1053.0, 526.0, 36.0], shoonya_7s25PX1ULIM2VT, 5771616]
[paragraph, [663.0, 947.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [663.0, 983.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [663.0, 1019.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [663.0, 1055.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [663.0, 1091.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [663.0, 1127.0, 527.0, 36.0], shoonya_3s8A8MKJV88II4, 5771616]
[paragraph, [122.0, 1139.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1175.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1211.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1247.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1283.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1319.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1355.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1391.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1427.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1463.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [122.0, 1499.0, 542.0, 36.0], shoonya_0sOWAHF2A67VO0, 5771616]
[paragraph, [666.0, 1249.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1285.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1321.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1357.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1393.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1429.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[paragraph, [666.0, 1465.0, 530.0, 36.0], shoonya_6sPKNE9FMVIGCD, 5771616]
[folio, [580.0, 1570.0, 175.0, 36.0], shoonya_17s9ED2XC8CNKK, 5771616]
[folio, [52.0, 1692.0, 226.0, 36.0], shoonya_16sOTPJNDCPMHH, 5771616]
