[2481, 1654]
[folio, [348.0, 106.0, 116.0, 36.0], shoonya_4s65CGHRM0EVT8, 5721271]
[paragraph, [219.0, 210.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 246.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 282.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 318.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 354.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 390.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 426.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 462.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 498.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 534.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 570.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 606.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [219.0, 642.0, 1285.0, 36.0], iFMTXtCS9k, 5721271]
[paragraph, [206.0, 689.0, 1298.0, 36.0], XfeKD7Bd2F, 5721271]
[paragraph, [206.0, 725.0, 1298.0, 36.0], XfeKD7Bd2F, 5721271]
[paragraph, [208.0, 791.0, 1290.0, 36.0], EogGfYTAKp, 5721271]
[paragraph, [208.0, 827.0, 1290.0, 36.0], EogGfYTAKp, 5721271]
[paragraph, [198.0, 896.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 932.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 968.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 1004.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 1040.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 1076.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [198.0, 1112.0, 1298.0, 36.0], r2l52TG6CO, 5721271]
[paragraph, [194.0, 1154.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1190.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1226.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1262.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1298.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1334.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1370.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1406.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1442.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1478.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1514.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1550.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [194.0, 1586.0, 1296.0, 36.0], EA_iuVGIWJ, 5721271]
[paragraph, [190.0, 1627.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1663.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1699.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1735.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1771.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1807.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1843.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [190.0, 1879.0, 1304.0, 36.0], 4YMIyAMmXw, 5721271]
[paragraph, [179.0, 1939.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 1975.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 2011.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 2047.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 2083.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 2119.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
[paragraph, [179.0, 2155.0, 1321.0, 36.0], 50ohajuQL-, 5721271]
