[2067, 1567]
[folio, [185.0, 195.0, 148.0, 36.0], sjreVkNScj, 5735535]
[folio, [1083.0, 199.0, 289.0, 36.0], MejUQyvPWX, 5735535]
[paragraph, [792.0, 248.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [792.0, 284.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [792.0, 320.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [792.0, 356.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [792.0, 392.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [792.0, 428.0, 580.0, 36.0], shoonya_5s9NE56WNGUCI6, 5735535]
[paragraph, [191.0, 251.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 287.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 323.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 359.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 395.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 431.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 467.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 503.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 539.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 575.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 611.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 647.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [191.0, 683.0, 581.0, 36.0], shoonya_1sXAN6TUSXQAIZ, 5735535]
[paragraph, [792.0, 473.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 509.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 545.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 581.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 617.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 653.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 689.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 725.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [792.0, 761.0, 579.0, 36.0], shoonya_3s4UBNKSJTP0MR, 5735535]
[paragraph, [191.0, 743.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 779.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 815.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 851.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 887.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 923.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
[paragraph, [191.0, 959.0, 582.0, 36.0], shoonya_2sCB1B8OLO057I, 5735535]
