[1755, 1241]
[folio, [676.0, 77.0, 352.0, 36.0], 81mbWYxKly, 5759964]
[paragraph, [231.0, 145.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 181.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 217.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 253.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 289.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 325.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 361.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 397.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 433.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 469.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 505.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 541.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 577.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 613.0, 803.0, 36.0], 8tH7EBEdTo, 5759964]
[paragraph, [231.0, 657.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [231.0, 693.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [231.0, 729.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [231.0, 765.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [231.0, 801.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [231.0, 837.0, 801.0, 36.0], BNiLfokj3z, 5759964]
[paragraph, [229.0, 886.0, 801.0, 36.0], JuZcrxmcSG, 5759964]
[paragraph, [229.0, 922.0, 801.0, 36.0], JuZcrxmcSG, 5759964]
[paragraph, [229.0, 958.0, 801.0, 36.0], JuZcrxmcSG, 5759964]
[paragraph, [229.0, 994.0, 801.0, 36.0], JuZcrxmcSG, 5759964]
[paragraph, [229.0, 1030.0, 801.0, 36.0], JuZcrxmcSG, 5759964]
[paragraph, [304.0, 1117.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1153.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1189.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1225.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1261.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1297.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1333.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1369.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1405.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1441.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1477.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1513.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1549.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
[paragraph, [304.0, 1585.0, 662.0, 36.0], 7zpWNrdU7e, 5759964]
