[2338, 1654]
[paragraph, [269.0, 217.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 253.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 289.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 325.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 361.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 397.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 433.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 469.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 505.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 541.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 577.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 613.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 649.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 685.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 721.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 757.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 793.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 829.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 865.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 901.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 937.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 973.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [269.0, 1009.0, 1213.0, 36.0], shoonya_1s75OE233KR465, 5753793]
[paragraph, [267.0, 1059.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1095.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1131.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1167.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1203.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1239.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1275.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1311.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1347.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1383.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1419.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1455.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1491.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1527.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1563.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1599.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1635.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1671.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1707.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1743.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1779.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1815.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1851.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1887.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1923.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1959.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
[paragraph, [267.0, 1995.0, 1212.0, 36.0], shoonya_0s4Y2WX0285KW5, 5753793]
