[585, 406]
[paragraph, [62.0, 57.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [62.0, 75.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [62.0, 93.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [62.0, 111.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [62.0, 129.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [62.0, 147.0, 318.0, 18.0], xlUeB8WOQ5, 6493354]
[paragraph, [68.0, 180.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 198.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 216.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 234.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 252.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 270.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 288.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 306.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [68.0, 324.0, 308.0, 18.0], zaTIMFP4EV, 6493354]
[paragraph, [60.0, 349.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 367.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 385.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 403.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 421.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 439.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 457.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 475.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 493.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
[paragraph, [60.0, 511.0, 320.0, 18.0], uZkLOHTUWt, 6493354]
