[842, 595]
[section-title, [213.0, 95.0, 219.0, 30.0], Yc3qJo5jkI, 6460215]
[paragraph, [96.0, 132.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 150.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 168.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 186.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 204.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 222.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 240.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 258.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 276.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 294.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 312.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 330.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 348.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 366.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 384.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 402.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 420.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 438.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 456.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 474.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 492.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 510.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 528.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 546.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 564.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 582.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 600.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 618.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[paragraph, [96.0, 636.0, 426.0, 18.0], shoonya_0s0ZH10HZ386XT, 6460215]
[sub-section-title, [233.0, 660.0, 138.0, 25.5], iQCcb9V9cE, 6460215]
[paragraph, [141.0, 694.0, 368.0, 18.0], shoonya_2sDH19D2BLYCGF, 6460215]
