[595, 454]
[chapter-title, [254.0, 142.0, 163.0, 30.0], cVyASnodu4, 6460410]
[paragraph, [24.0, 202.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 220.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 238.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 256.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 274.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 292.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 310.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 328.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 346.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 364.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [24.0, 382.0, 200.0, 18.0], jKb3VMLArp, 6460410]
[paragraph, [227.0, 202.0, 200.0, 18.0], KoaU3CeqzP, 6460410]
[paragraph, [227.0, 220.0, 200.0, 18.0], KoaU3CeqzP, 6460410]
[paragraph, [227.0, 238.0, 200.0, 18.0], KoaU3CeqzP, 6460410]
[paragraph, [227.0, 259.0, 202.0, 18.0], mLcVYhy3Ug, 6460410]
[paragraph, [227.0, 277.0, 202.0, 18.0], mLcVYhy3Ug, 6460410]
[paragraph, [227.0, 295.0, 202.0, 18.0], mLcVYhy3Ug, 6460410]
[paragraph, [224.0, 319.0, 205.0, 18.0], lpYIrb8-31, 6460410]
[paragraph, [224.0, 337.0, 205.0, 18.0], lpYIrb8-31, 6460410]
[paragraph, [224.0, 355.0, 205.0, 18.0], lpYIrb8-31, 6460410]
[paragraph, [224.0, 373.0, 205.0, 18.0], lpYIrb8-31, 6460410]
[paragraph, [224.0, 391.0, 205.0, 18.0], lpYIrb8-31, 6460410]
[paragraph, [20.0, 414.0, 207.0, 18.0], OhKT-iGaH-, 6460410]
[paragraph, [20.0, 432.0, 207.0, 18.0], OhKT-iGaH-, 6460410]
[paragraph, [20.0, 450.0, 207.0, 18.0], OhKT-iGaH-, 6460410]
[paragraph, [20.0, 468.0, 207.0, 18.0], OhKT-iGaH-, 6460410]
[paragraph, [230.0, 417.0, 199.0, 18.0], cfIrURF9Pt, 6460410]
[paragraph, [230.0, 435.0, 199.0, 18.0], cfIrURF9Pt, 6460410]
[paragraph, [229.0, 458.0, 199.0, 18.0], tpI25lW0e9, 6460410]
[paragraph, [229.0, 476.0, 199.0, 18.0], tpI25lW0e9, 6460410]
[paragraph, [229.0, 494.0, 199.0, 18.0], tpI25lW0e9, 6460410]
[paragraph, [229.0, 512.0, 199.0, 18.0], tpI25lW0e9, 6460410]
[paragraph, [20.0, 494.0, 207.0, 18.0], REAOpLz6Ra, 6460410]
[paragraph, [20.0, 512.0, 207.0, 18.0], REAOpLz6Ra, 6460410]
