[1987, 1270]
[folio, [590.0, 123.0, 96.0, 36.0], shoonya_1sYVWZEM8XB7L6, 5682630]
[paragraph, [129.0, 188.0, 1016.0, 36.0], shoonya_3sGE0N3V6R6FEC, 5682630]
[paragraph, [129.0, 224.0, 1016.0, 36.0], shoonya_3sGE0N3V6R6FEC, 5682630]
[paragraph, [129.0, 260.0, 1016.0, 36.0], shoonya_3sGE0N3V6R6FEC, 5682630]
[paragraph, [129.0, 296.0, 1016.0, 36.0], shoonya_3sGE0N3V6R6FEC, 5682630]
[paragraph, [132.0, 347.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 383.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 419.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 455.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 491.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 527.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [132.0, 563.0, 1013.0, 36.0], shoonya_4sBQQEJT8ONG3F, 5682630]
[paragraph, [131.0, 610.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 646.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 682.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 718.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 754.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 790.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [131.0, 826.0, 1014.0, 36.0], shoonya_5sVLR3YIOQH6PE, 5682630]
[paragraph, [125.0, 875.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 911.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 947.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 983.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1019.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1055.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1091.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1127.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1163.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1199.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [125.0, 1235.0, 1024.0, 36.0], shoonya_6sQ75BCW92RAFR, 5682630]
[paragraph, [128.0, 1289.0, 1017.0, 36.0], shoonya_7s7PJ47TAH1KA5, 5682630]
[paragraph, [128.0, 1325.0, 1017.0, 36.0], shoonya_7s7PJ47TAH1KA5, 5682630]
[paragraph, [128.0, 1361.0, 1017.0, 36.0], shoonya_7s7PJ47TAH1KA5, 5682630]
[paragraph, [128.0, 1397.0, 1017.0, 36.0], shoonya_7s7PJ47TAH1KA5, 5682630]
[paragraph, [128.0, 1453.0, 1014.0, 36.0], shoonya_8s2SGOPTE9NN9B, 5682630]
[paragraph, [128.0, 1489.0, 1014.0, 36.0], shoonya_8s2SGOPTE9NN9B, 5682630]
[paragraph, [128.0, 1525.0, 1014.0, 36.0], shoonya_8s2SGOPTE9NN9B, 5682630]
[paragraph, [128.0, 1561.0, 1014.0, 36.0], shoonya_8s2SGOPTE9NN9B, 5682630]
[paragraph, [128.0, 1597.0, 1014.0, 36.0], shoonya_8s2SGOPTE9NN9B, 5682630]
[paragraph, [125.0, 1664.0, 1023.0, 36.0], wF6hRacn87, 5682630]
[paragraph, [125.0, 1700.0, 1023.0, 36.0], wF6hRacn87, 5682630]
[paragraph, [125.0, 1736.0, 1023.0, 36.0], wF6hRacn87, 5682630]
[paragraph, [125.0, 1772.0, 1023.0, 36.0], wF6hRacn87, 5682630]
[paragraph, [125.0, 1808.0, 1023.0, 36.0], wF6hRacn87, 5682630]
