[2200, 1700]
[paragraph, [245.0, 89.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 125.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 161.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 197.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 233.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 269.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 305.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 341.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [245.0, 377.0, 1105.0, 36.0], shoonya_1sAV3OI79UECFH, 5731289]
[paragraph, [239.0, 435.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 471.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 507.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 543.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 579.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 615.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 651.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 687.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 723.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 759.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 795.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 831.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 867.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 903.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 939.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 975.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1011.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1047.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1083.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1119.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1155.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1191.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1227.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1263.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1299.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1335.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1371.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1407.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1443.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1479.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1515.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1551.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1587.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1623.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1659.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1695.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1731.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1767.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1803.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1839.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1875.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[paragraph, [239.0, 1911.0, 1126.0, 36.0], shoonya_0sB2G1TH979AZH, 5731289]
[folio, [889.0, 2030.0, 367.0, 36.0], sqI1TZU92E, 5731289]
