[2180, 1639]
[paragraph, [803.0, 172.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 208.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 244.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 280.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 316.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 352.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 388.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 424.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 460.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 496.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 532.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 568.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 604.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 640.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 676.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 712.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 748.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 784.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 820.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 856.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 892.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 928.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [803.0, 964.0, 761.0, 36.0], shoonya_2sJA62AW4XU848, 5654331]
[paragraph, [23.0, 207.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [23.0, 243.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [23.0, 279.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [23.0, 315.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [23.0, 351.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [23.0, 387.0, 745.0, 36.0], shoonya_4sKRSMXFPBCKJC, 5654331]
[paragraph, [28.0, 452.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 488.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 524.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 560.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 596.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 632.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [28.0, 668.0, 749.0, 36.0], shoonya_5sE55QXV2OBM61, 5654331]
[paragraph, [43.0, 712.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 748.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 784.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 820.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 856.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 892.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 928.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 964.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1000.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1036.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1072.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1108.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1144.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1180.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1216.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
[paragraph, [43.0, 1252.0, 756.0, 36.0], shoonya_1s1UTO3LFH9OK6, 5654331]
