[1437, 878]
[headline, [306.0, 78.0, 336.0, 25.5], QlIIdhjZk3, 5770734]
[paragraph, [70.0, 138.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 156.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 174.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 192.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 210.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 228.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 246.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [70.0, 264.0, 358.0, 18.0], OJ8yJ-QRe0, 5770734]
[paragraph, [434.0, 138.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 156.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 174.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 192.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 210.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 228.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 246.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 264.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 282.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 300.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 318.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 336.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 354.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 372.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 390.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 408.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[paragraph, [434.0, 426.0, 356.0, 18.0], ahsLerUBUJ, 5770734]
[folio, [690.0, 162.0, 119.0, 18.0], GuO8lX0BSx, 5770734]
[folio, [690.0, 180.0, 119.0, 18.0], GuO8lX0BSx, 5770734]
[folio, [690.0, 198.0, 119.0, 18.0], GuO8lX0BSx, 5770734]
[paragraph, [71.0, 280.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 298.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 316.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 334.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 352.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 370.0, 356.0, 18.0], yIT941TAox, 5770734]
[paragraph, [71.0, 388.0, 356.0, 18.0], yIT941TAox, 5770734]
