[1987, 1270]
[folio, [593.0, 127.0, 90.0, 36.0], QNQK8VA5dg, 5682904]
[paragraph, [131.0, 190.0, 1020.0, 36.0], shoonya_7sLR8U61K7QHDD, 5682904]
[paragraph, [131.0, 226.0, 1020.0, 36.0], shoonya_7sLR8U61K7QHDD, 5682904]
[paragraph, [131.0, 262.0, 1020.0, 36.0], shoonya_7sLR8U61K7QHDD, 5682904]
[paragraph, [131.0, 298.0, 1020.0, 36.0], shoonya_7sLR8U61K7QHDD, 5682904]
[paragraph, [131.0, 348.0, 1013.0, 36.0], shoonya_2sTGCYT8O7XFQ3, 5682904]
[paragraph, [131.0, 384.0, 1013.0, 36.0], shoonya_2sTGCYT8O7XFQ3, 5682904]
[paragraph, [131.0, 420.0, 1013.0, 36.0], shoonya_2sTGCYT8O7XFQ3, 5682904]
[paragraph, [131.0, 456.0, 1013.0, 36.0], shoonya_2sTGCYT8O7XFQ3, 5682904]
[paragraph, [131.0, 492.0, 1013.0, 36.0], shoonya_2sTGCYT8O7XFQ3, 5682904]
[paragraph, [131.0, 562.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 598.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 634.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 670.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 706.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 742.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 778.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 814.0, 1009.0, 36.0], shoonya_1sZVABXYRYENN3, 5682904]
[paragraph, [131.0, 876.0, 1009.0, 36.0], x6BZ4Gk1fF, 5682904]
[paragraph, [131.0, 912.0, 1009.0, 36.0], x6BZ4Gk1fF, 5682904]
[paragraph, [142.0, 982.0, 361.0, 36.0], 9BVbdsg-I1, 5682904]
[paragraph, [179.0, 1033.0, 246.0, 36.0], shoonya_5sQSAFBFKF7D2S, 5682904]
[paragraph, [128.0, 1084.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1120.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1156.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1192.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1228.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1264.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1300.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [128.0, 1336.0, 1014.0, 36.0], shoonya_0sFMTR6UWAL6CX, 5682904]
[paragraph, [127.0, 1400.0, 1018.0, 36.0], shoonya_6sB6579DGPQR4K, 5682904]
[paragraph, [127.0, 1436.0, 1018.0, 36.0], shoonya_6sB6579DGPQR4K, 5682904]
[paragraph, [127.0, 1472.0, 1018.0, 36.0], shoonya_6sB6579DGPQR4K, 5682904]
[paragraph, [127.0, 1508.0, 1018.0, 36.0], shoonya_6sB6579DGPQR4K, 5682904]
[paragraph, [126.0, 1554.0, 1017.0, 36.0], oOKHTAwP6M, 5682904]
[paragraph, [126.0, 1590.0, 1017.0, 36.0], oOKHTAwP6M, 5682904]
[paragraph, [126.0, 1626.0, 1017.0, 36.0], oOKHTAwP6M, 5682904]
[paragraph, [126.0, 1662.0, 1017.0, 36.0], oOKHTAwP6M, 5682904]
[paragraph, [125.0, 1715.0, 1017.0, 36.0], wYO1vFUgt3, 5682904]
[paragraph, [125.0, 1751.0, 1017.0, 36.0], wYO1vFUgt3, 5682904]
[paragraph, [125.0, 1787.0, 1017.0, 36.0], wYO1vFUgt3, 5682904]
[paragraph, [125.0, 1823.0, 1017.0, 36.0], wYO1vFUgt3, 5682904]
