[688, 400]
[folio, [89.0, 23.0, 219.0, 18.0], shoonya_0s9T6BNDSWLK8Y, 5748901]
[paragraph, [2.0, 58.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 76.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 94.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 112.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 130.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 148.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 166.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 184.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 202.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 220.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 238.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 256.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 274.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 292.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 310.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 328.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 346.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 364.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 382.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 400.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 418.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 436.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 454.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 472.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 490.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 508.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 526.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 544.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 562.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 580.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 598.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[paragraph, [2.0, 616.0, 382.0, 18.0], djfyfo6mt_, 5748901]
[footnote, [85.0, 655.0, 257.0, 18.0], CxluXoSZpL, 5748901]
