[814, 624]
[section-title, [98.0, 57.0, 455.0, 30.0], O4b6Qq45R8, 5690556]
[section-title, [98.0, 87.0, 455.0, 30.0], O4b6Qq45R8, 5690556]
[unordered-list, [76.0, 162.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 180.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 198.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 216.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 234.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 252.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 270.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 288.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 306.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 324.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[unordered-list, [76.0, 342.0, 472.0, 18.0], 4OE1much0Y, 5690556]
[paragraph, [77.0, 409.0, 470.0, 18.0], XNZL2AJL5z, 5690556]
[paragraph, [77.0, 427.0, 470.0, 18.0], XNZL2AJL5z, 5690556]
[paragraph, [77.0, 445.0, 470.0, 18.0], XNZL2AJL5z, 5690556]
[paragraph, [77.0, 463.0, 470.0, 18.0], XNZL2AJL5z, 5690556]
[paragraph, [77.0, 481.0, 470.0, 18.0], XNZL2AJL5z, 5690556]
[paragraph, [75.0, 537.0, 475.0, 18.0], ooY08Hz7ke, 5690556]
[paragraph, [75.0, 555.0, 475.0, 18.0], ooY08Hz7ke, 5690556]
[paragraph, [75.0, 573.0, 475.0, 18.0], ooY08Hz7ke, 5690556]
[unordered-list, [82.0, 641.0, 458.0, 18.0], utdzICvN-u, 5690556]
[unordered-list, [82.0, 659.0, 458.0, 18.0], utdzICvN-u, 5690556]
[unordered-list, [82.0, 677.0, 458.0, 18.0], utdzICvN-u, 5690556]
[unordered-list, [82.0, 695.0, 458.0, 18.0], utdzICvN-u, 5690556]
[unordered-list, [82.0, 713.0, 458.0, 18.0], utdzICvN-u, 5690556]
