[1320, 1176]
[folio, [949.0, 58.0, 145.0, 18.0], zABQZTbQ8C, 5694356]
[folio, [949.0, 76.0, 145.0, 18.0], zABQZTbQ8C, 5694356]
[folio, [949.0, 94.0, 145.0, 18.0], zABQZTbQ8C, 5694356]
[folio, [949.0, 112.0, 145.0, 18.0], zABQZTbQ8C, 5694356]
[folio, [949.0, 130.0, 145.0, 18.0], zABQZTbQ8C, 5694356]
[chapter-title, [96.0, 170.0, 154.0, 30.0], Nt40CHtk2F, 5694356]
[chapter-title, [96.0, 200.0, 154.0, 30.0], Nt40CHtk2F, 5694356]
[paragraph, [772.0, 176.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 194.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 212.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 230.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 248.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 266.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[paragraph, [772.0, 284.0, 322.0, 18.0], AcKOfyDjZa, 5694356]
[author, [443.0, 214.0, 281.0, 18.0], YW1-vqq58R, 5694356]
[paragraph, [428.0, 252.0, 322.0, 18.0], -645EAWQUR, 5694356]
[paragraph, [428.0, 270.0, 322.0, 18.0], -645EAWQUR, 5694356]
[paragraph, [117.0, 278.0, 179.0, 18.0], oFRPUAzLaU, 5694356]
[paragraph, [85.0, 311.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 329.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 347.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 365.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 383.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 401.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 419.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 437.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 455.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [85.0, 473.0, 322.0, 18.0], i6xQ18Ur03, 5694356]
[paragraph, [427.0, 311.0, 321.0, 18.0], jJ7qZ4k4O8, 5694356]
[paragraph, [427.0, 329.0, 321.0, 18.0], jJ7qZ4k4O8, 5694356]
[paragraph, [427.0, 347.0, 321.0, 18.0], jJ7qZ4k4O8, 5694356]
[paragraph, [427.0, 365.0, 321.0, 18.0], jJ7qZ4k4O8, 5694356]
[paragraph, [772.0, 321.0, 320.0, 18.0], W4qatjRFZ8, 5694356]
[paragraph, [772.0, 339.0, 320.0, 18.0], W4qatjRFZ8, 5694356]
[paragraph, [803.0, 374.0, 196.0, 18.0], hX680QS_HV, 5694356]
[paragraph, [458.0, 393.0, 89.0, 18.0], BR41CmKqS7, 5694356]
[paragraph, [772.0, 405.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
[paragraph, [772.0, 423.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
[paragraph, [772.0, 441.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
[paragraph, [772.0, 459.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
[paragraph, [772.0, 477.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
[paragraph, [772.0, 495.0, 322.0, 18.0], LqCwR1ZIbv, 5694356]
