[1606, 1056]
[folio, [441.0, 104.0, 158.0, 36.0], shoonya_0sXS2MMGYQM0UF, 5684042]
[paragraph, [98.0, 156.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 192.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 228.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 264.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 300.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 336.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 372.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 408.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 444.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 480.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 516.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 552.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 588.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 624.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 660.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 696.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 732.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 768.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 804.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 840.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 876.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 912.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 948.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 984.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1020.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1056.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1092.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1128.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1164.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [98.0, 1200.0, 860.0, 36.0], shoonya_1sWKPEFZVUB2AC, 5684042]
[paragraph, [97.0, 1244.0, 862.0, 36.0], V2OSZ6AgpP, 5684042]
[paragraph, [97.0, 1280.0, 862.0, 36.0], V2OSZ6AgpP, 5684042]
[paragraph, [241.0, 1327.0, 508.0, 36.0], Pj_t8Xb8Ut, 5684042]
[paragraph, [241.0, 1363.0, 508.0, 36.0], Pj_t8Xb8Ut, 5684042]
[paragraph, [241.0, 1399.0, 508.0, 36.0], Pj_t8Xb8Ut, 5684042]
[paragraph, [241.0, 1435.0, 508.0, 36.0], Pj_t8Xb8Ut, 5684042]
[paragraph, [241.0, 1471.0, 508.0, 36.0], Pj_t8Xb8Ut, 5684042]
