[714, 500]
[folio, [224.0, 44.0, 92.0, 18.0], y7uNcJr0wB, 6464559]
[paragraph, [71.0, 78.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 96.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 114.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 132.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 150.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 168.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 186.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 204.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 222.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 240.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 258.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 276.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[paragraph, [71.0, 294.0, 396.0, 18.0], S6AX8VR29t, 6464559]
[section-title, [169.0, 336.0, 237.0, 30.0], ljU43VSQmL, 6464559]
[paragraph, [73.0, 375.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 393.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 411.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 429.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 447.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 465.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 483.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 501.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [73.0, 519.0, 398.0, 18.0], 7Yx_yrD8bj, 6464559]
[paragraph, [136.0, 551.0, 287.0, 18.0], J5_pZR2fbA, 6464559]
[paragraph, [134.0, 573.0, 283.0, 18.0], iE4qzRtJ-k, 6464559]
[paragraph, [71.0, 606.0, 394.0, 18.0], m3PiVLA194, 6464559]
[paragraph, [71.0, 624.0, 394.0, 18.0], m3PiVLA194, 6464559]
