[1650, 1275]
[paragraph, [140.0, 140.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 176.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 212.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 248.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 284.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 320.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 356.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 392.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 428.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 464.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 500.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 536.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 572.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 608.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 644.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 680.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 716.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 752.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 788.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 824.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 860.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 896.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 932.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 968.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1004.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1040.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1076.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1112.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1148.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1184.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1220.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1256.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1292.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1328.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1364.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1400.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
[paragraph, [140.0, 1436.0, 995.0, 36.0], shoonya_0sXTQC9U8IHGTT, 5703997]
