[2103, 1406]
[headline, [321.0, 114.0, 723.0, 67.5], ms44wcdRQx, 5654788]
[headline, [321.0, 181.5, 723.0, 67.5], ms44wcdRQx, 5654788]
[headline, [321.0, 249.0, 723.0, 67.5], ms44wcdRQx, 5654788]
[author, [552.0, 390.0, 223.0, 36.0], shoonya_18sVPS6QFCIX0E, 5654788]
[paragraph, [667.0, 458.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 494.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 530.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 566.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 602.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 638.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 674.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 710.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 746.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [667.0, 782.0, 655.0, 36.0], shoonya_1sZML26X3E8DKR, 5654788]
[paragraph, [35.0, 462.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 498.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 534.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 570.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 606.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 642.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [35.0, 678.0, 627.0, 36.0], shoonya_0sMCROB3WW6Q2O, 5654788]
[paragraph, [39.0, 745.0, 620.0, 36.0], shoonya_9sZTVDKXSWZ8H0, 5654788]
[paragraph, [39.0, 781.0, 620.0, 36.0], shoonya_9sZTVDKXSWZ8H0, 5654788]
[paragraph, [40.0, 824.0, 403.0, 36.0], shoonya_11s4W3QBKM22IA, 5654788]
[paragraph, [40.0, 860.0, 403.0, 36.0], shoonya_11s4W3QBKM22IA, 5654788]
[paragraph, [893.0, 830.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 866.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 902.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 938.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 974.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 1010.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 1046.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 1082.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[paragraph, [893.0, 1118.0, 425.0, 36.0], shoonya_3sG7EURWOEN4S0, 5654788]
[figure-caption, [582.0, 846.0, 278.0, 36.0], shoonya_12s1GMTFPB7D0D, 5654788]
[paragraph, [44.0, 903.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [44.0, 939.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [44.0, 975.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [44.0, 1011.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [44.0, 1047.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [44.0, 1083.0, 399.0, 36.0], shoonya_6sLFOCIQ3CJCEA, 5654788]
[paragraph, [41.0, 1147.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [41.0, 1183.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [41.0, 1219.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [41.0, 1255.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [41.0, 1291.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [41.0, 1327.0, 617.0, 36.0], shoonya_4sY388JCKXQAFF, 5654788]
[paragraph, [666.0, 1157.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [666.0, 1193.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [666.0, 1229.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [666.0, 1265.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [666.0, 1301.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [666.0, 1337.0, 653.0, 36.0], shoonya_2sTH685JMMY951, 5654788]
[paragraph, [21.0, 1374.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1410.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1446.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1482.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1518.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1554.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1590.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1626.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1662.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [21.0, 1698.0, 443.0, 36.0], shoonya_14sPBWG2PMOJ89, 5654788]
[paragraph, [857.0, 1386.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1422.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1458.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1494.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1530.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1566.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1602.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1638.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1674.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[paragraph, [857.0, 1710.0, 463.0, 36.0], shoonya_10sJHDN3B8AHNM, 5654788]
[figure-caption, [478.0, 1704.0, 356.0, 36.0], shoonya_16s0S5HNRTT81J, 5654788]
[paragraph, [7.0, 1748.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1784.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1820.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1856.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1892.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1928.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [7.0, 1964.0, 649.0, 36.0], FEx6fpnRer, 5654788]
[paragraph, [670.0, 1755.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[paragraph, [670.0, 1791.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[paragraph, [670.0, 1827.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[paragraph, [670.0, 1863.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[paragraph, [670.0, 1899.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[paragraph, [670.0, 1935.0, 651.0, 36.0], kJBfEwfJsK, 5654788]
[author, [1049.0, 1976.0, 254.0, 36.0], shoonya_13sDZW09ITEKDX, 5654788]
[folio, [472.0, 2003.0, 358.0, 36.0], gz6bqV3Uk3, 5654788]
[folio, [73.0, 2004.0, 98.0, 36.0], Ya9_IDusom, 5654788]
[footnote, [356.0, 2055.0, 693.0, 36.0], xmBHiFEtLq, 5654788]
