[2554, 1954]
[folio, [729.0, 75.0, 131.0, 46.5], O32ih4pAj7, 5683431]
[paragraph, [473.0, 221.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 267.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 314.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 360.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 407.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 453.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 500.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 546.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 593.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 639.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 686.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 732.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 779.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 825.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 872.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 918.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 965.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1011.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1058.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1104.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1151.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1197.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1244.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1290.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1337.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1383.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1430.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1476.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1523.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1569.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1616.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1662.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1709.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1755.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1802.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1848.5, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[paragraph, [473.0, 1895.0, 1275.0, 46.5], 6K3ERUe8sy, 5683431]
[author, [1164.0, 2110.0, 617.0, 46.5], shoonya_0s2BY261ZRGZLM, 5683431]
[author, [1164.0, 2156.5, 617.0, 46.5], shoonya_0s2BY261ZRGZLM, 5683431]
[author, [1164.0, 2203.0, 617.0, 46.5], shoonya_0s2BY261ZRGZLM, 5683431]
