[2200, 1700]
[paragraph, [193.0, 188.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 224.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 260.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 296.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 332.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 368.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 404.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 440.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 476.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 512.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 548.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [193.0, 584.0, 1299.0, 36.0], shoonya_0sP77H9KNYFW09, 5652634]
[paragraph, [218.0, 634.0, 1292.0, 36.0], Yz8fizyuVg, 5652634]
[paragraph, [218.0, 670.0, 1292.0, 36.0], Yz8fizyuVg, 5652634]
[paragraph, [218.0, 706.0, 1292.0, 36.0], Yz8fizyuVg, 5652634]
[paragraph, [218.0, 742.0, 1292.0, 36.0], Yz8fizyuVg, 5652634]
[paragraph, [218.0, 778.0, 1292.0, 36.0], Yz8fizyuVg, 5652634]
[paragraph, [224.0, 817.0, 1180.0, 36.0], jnhod8Qk6j, 5652634]
[paragraph, [275.0, 879.0, 689.0, 36.0], msGQIV3oog, 5652634]
[paragraph, [106.0, 938.0, 1328.0, 36.0], QVEptEFWaI, 5652634]
[paragraph, [106.0, 974.0, 1328.0, 36.0], QVEptEFWaI, 5652634]
[paragraph, [106.0, 1010.0, 1328.0, 36.0], QVEptEFWaI, 5652634]
[paragraph, [106.0, 1046.0, 1328.0, 36.0], QVEptEFWaI, 5652634]
[paragraph, [106.0, 1082.0, 1328.0, 36.0], QVEptEFWaI, 5652634]
[paragraph, [148.0, 1119.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [148.0, 1155.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [148.0, 1191.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [148.0, 1227.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [148.0, 1263.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [148.0, 1299.0, 1332.0, 36.0], cfGds0UOSa, 5652634]
[paragraph, [292.0, 1361.0, 870.0, 36.0], qAZrISSdtJ, 5652634]
[paragraph, [309.0, 1422.0, 916.0, 36.0], M1wuQ5uoZ-, 5652634]
[paragraph, [216.0, 1484.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1520.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1556.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1592.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1628.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1664.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1700.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1736.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1772.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[paragraph, [216.0, 1808.0, 1197.0, 36.0], ucKvk5XhIg, 5652634]
[folio, [1095.0, 1885.0, 106.0, 36.0], pjhC5oocy_, 5652634]
