[825, 638]
[section-title, [37.0, 31.0, 247.0, 30.0], XnbJz-dp-u, 6474067]
[paragraph, [39.0, 97.0, 512.0, 18.0], shoonya_0sNO21A769TWCA, 6474067]
[paragraph, [39.0, 115.0, 512.0, 18.0], shoonya_0sNO21A769TWCA, 6474067]
[paragraph, [39.0, 133.0, 512.0, 18.0], shoonya_0sNO21A769TWCA, 6474067]
[paragraph, [39.0, 151.0, 512.0, 18.0], shoonya_0sNO21A769TWCA, 6474067]
[paragraph, [39.0, 169.0, 512.0, 18.0], shoonya_0sNO21A769TWCA, 6474067]
[paragraph, [37.0, 217.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 235.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 253.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 271.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 289.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 307.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 325.0, 533.0, 18.0], shoonya_1sJ2L3XJHOGUPV, 6474067]
[paragraph, [37.0, 367.0, 520.0, 18.0], z6sMG8bQrv, 6474067]
[paragraph, [37.0, 385.0, 520.0, 18.0], z6sMG8bQrv, 6474067]
[paragraph, [37.0, 403.0, 520.0, 18.0], z6sMG8bQrv, 6474067]
[paragraph, [37.0, 421.0, 520.0, 18.0], z6sMG8bQrv, 6474067]
[paragraph, [37.0, 439.0, 520.0, 18.0], z6sMG8bQrv, 6474067]
[paragraph, [35.0, 484.0, 549.0, 18.0], mZub1sh4s2, 6474067]
[paragraph, [35.0, 502.0, 549.0, 18.0], mZub1sh4s2, 6474067]
[paragraph, [35.0, 520.0, 549.0, 18.0], mZub1sh4s2, 6474067]
[paragraph, [35.0, 538.0, 549.0, 18.0], mZub1sh4s2, 6474067]
[paragraph, [35.0, 577.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 595.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 613.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 631.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 649.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 667.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
[paragraph, [35.0, 685.0, 564.0, 18.0], 8vgABdQoe5, 6474067]
