[1468, 909]
[folio, [372.0, 82.0, 146.0, 18.0], kbtrhEdhz6, 5770221]
[folio, [372.0, 100.0, 146.0, 18.0], kbtrhEdhz6, 5770221]
[paragraph, [465.0, 149.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 167.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 185.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 203.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 221.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 239.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 257.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 275.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 293.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [465.0, 311.0, 362.0, 18.0], 5m8j_myt-u, 5770221]
[paragraph, [80.0, 157.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 175.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 193.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 211.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 229.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 247.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 265.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 283.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 301.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 319.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 337.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 355.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 373.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 391.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [80.0, 409.0, 369.0, 18.0], Al8sDJF90A, 5770221]
[paragraph, [465.0, 323.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 341.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 359.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 377.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 395.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 413.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 431.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 449.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 467.0, 368.0, 18.0], uOnB_okL6y, 5770221]
[paragraph, [465.0, 485.0, 368.0, 18.0], uOnB_okL6y, 5770221]
