[2339, 1653]
[sidebar, [1425.0, 392.0, 144.0, 36.0], hgi4F44iwE, 5735622]
[figure-caption, [1081.0, 791.0, 169.0, 36.0], shoonya_9sK71CI66D3GDY, 5735622]
[figure-caption, [1036.0, 1183.0, 165.0, 36.0], shoonya_5s6XQFP7T8CEEQ, 5735622]
[paragraph, [834.0, 1226.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1262.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1298.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1334.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1370.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1406.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1442.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1478.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1514.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1550.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1586.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1622.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1658.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1694.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1730.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1766.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [834.0, 1802.0, 581.0, 36.0], shoonya_1sGRYNI287QO8C, 5735622]
[paragraph, [240.0, 1227.0, 576.0, 36.0], shoonya_3s8EPY6NNLG24I, 5735622]
[paragraph, [240.0, 1263.0, 576.0, 36.0], shoonya_3s8EPY6NNLG24I, 5735622]
[paragraph, [240.0, 1299.0, 576.0, 36.0], shoonya_3s8EPY6NNLG24I, 5735622]
[paragraph, [235.0, 1359.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1395.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1431.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1467.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1503.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1539.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1575.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1611.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1647.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1683.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1719.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1755.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1791.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1827.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1863.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [235.0, 1899.0, 581.0, 36.0], shoonya_0sYP82D1IP9BAV, 5735622]
[paragraph, [836.0, 1849.0, 580.0, 36.0], shoonya_8sLNEV2HZR121O, 5735622]
[paragraph, [836.0, 1885.0, 580.0, 36.0], shoonya_8sLNEV2HZR121O, 5735622]
[folio, [241.0, 1967.0, 224.0, 36.0], rWHiAvHnW2, 5735622]
