[576, 360]
[folio, [156.0, 29.0, 146.0, 18.0], MzvtnPtWNh, 6517470]
[paragraph, [26.0, 105.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 123.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 141.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 159.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 177.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 195.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 213.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [26.0, 231.0, 305.0, 18.0], shoonya_0sFBXSZVW0W93N, 6517470]
[paragraph, [27.0, 257.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 275.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 293.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 311.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 329.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 347.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 365.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 383.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 401.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 419.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [27.0, 437.0, 305.0, 18.0], shoonya_1s18UV2NAPFG9D, 6517470]
[paragraph, [28.0, 456.0, 303.0, 18.0], AdF4YGVhHY, 6517470]
[paragraph, [28.0, 474.0, 303.0, 18.0], AdF4YGVhHY, 6517470]
[paragraph, [28.0, 492.0, 303.0, 18.0], AdF4YGVhHY, 6517470]
