[1241, 827]
[folio, [368.0, 50.0, 319.0, 18.0], w0Lf4nsuSA, 6477972]
[folio, [368.0, 68.0, 319.0, 18.0], w0Lf4nsuSA, 6477972]
[paragraph, [110.0, 143.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 161.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 179.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 197.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 215.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 233.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 251.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 269.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 287.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[paragraph, [110.0, 305.0, 642.0, 18.0], shoonya_1sRV1FNIX4H6RD, 6477972]
[ordered-list, [151.0, 341.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 359.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 377.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 395.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 413.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 431.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 449.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 467.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 485.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 503.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 521.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 539.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 557.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 575.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 593.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 611.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 629.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 647.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
[ordered-list, [151.0, 665.0, 595.0, 18.0], shoonya_4sZ9U4YJJOS28D, 6477972]
