[1387, 987]
[paragraph, [87.0, 97.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 115.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 133.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 151.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 169.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 187.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 205.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 223.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [87.0, 241.0, 796.0, 18.0], shoonya_0sWW9WRVDFOBHB, 5653101]
[paragraph, [96.0, 270.0, 525.0, 18.0], U9VpxO_5op, 5653101]
[paragraph, [96.0, 288.0, 525.0, 18.0], U9VpxO_5op, 5653101]
[paragraph, [96.0, 306.0, 525.0, 18.0], U9VpxO_5op, 5653101]
[paragraph, [90.0, 339.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 357.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 375.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 393.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 411.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 429.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 447.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 465.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [90.0, 483.0, 788.0, 18.0], uRqs1uuHn5, 5653101]
[paragraph, [89.0, 519.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 537.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 555.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 573.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 591.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 609.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 627.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 645.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 663.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 681.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 699.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 717.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 735.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 753.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 771.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 789.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 807.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 825.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 843.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 861.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 879.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 897.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 915.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 933.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [89.0, 951.0, 796.0, 18.0], shoonya_1sFDWMAV55B37O, 5653101]
[paragraph, [87.0, 984.0, 782.0, 18.0], XKTcl3i6f5, 5653101]
[paragraph, [87.0, 1002.0, 782.0, 18.0], XKTcl3i6f5, 5653101]
[paragraph, [87.0, 1020.0, 782.0, 18.0], XKTcl3i6f5, 5653101]
[paragraph, [87.0, 1038.0, 782.0, 18.0], XKTcl3i6f5, 5653101]
[paragraph, [87.0, 1056.0, 782.0, 18.0], XKTcl3i6f5, 5653101]
[paragraph, [91.0, 1108.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1126.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1144.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1162.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1180.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1198.0, 795.0, 18.0], U66xbAdmh1, 5653101]
[paragraph, [91.0, 1216.0, 795.0, 18.0], U66xbAdmh1, 5653101]
