[1300, 900]
[folio, [394.0, 43.0, 123.0, 18.0], 9c97k2lbmX, 5732237]
[folio, [394.0, 61.0, 123.0, 18.0], 9c97k2lbmX, 5732237]
[paragraph, [104.0, 114.0, 687.0, 18.0], shoonya_2s3TTQLNOEBDFF, 5732237]
[paragraph, [104.0, 132.0, 687.0, 18.0], shoonya_2s3TTQLNOEBDFF, 5732237]
[paragraph, [135.0, 160.0, 656.0, 18.0], shoonya_5s9CVL45N18L13, 5732237]
[paragraph, [135.0, 178.0, 656.0, 18.0], shoonya_5s9CVL45N18L13, 5732237]
[paragraph, [109.0, 203.0, 682.0, 18.0], shoonya_4sWGAQMSEXF9ZB, 5732237]
[paragraph, [109.0, 221.0, 682.0, 18.0], shoonya_4sWGAQMSEXF9ZB, 5732237]
[paragraph, [109.0, 239.0, 682.0, 18.0], shoonya_4sWGAQMSEXF9ZB, 5732237]
[paragraph, [109.0, 257.0, 682.0, 18.0], shoonya_4sWGAQMSEXF9ZB, 5732237]
[paragraph, [156.0, 297.0, 581.0, 18.0], shoonya_3sRTIIG7EGI00T, 5732237]
[paragraph, [156.0, 315.0, 581.0, 18.0], shoonya_3sRTIIG7EGI00T, 5732237]
[paragraph, [99.0, 343.0, 698.0, 18.0], shoonya_0sW79350HGNGE5, 5732237]
[paragraph, [99.0, 361.0, 698.0, 18.0], shoonya_0sW79350HGNGE5, 5732237]
[paragraph, [99.0, 379.0, 698.0, 18.0], shoonya_0sW79350HGNGE5, 5732237]
[paragraph, [99.0, 397.0, 698.0, 18.0], shoonya_0sW79350HGNGE5, 5732237]
[paragraph, [99.0, 415.0, 698.0, 18.0], shoonya_0sW79350HGNGE5, 5732237]
[paragraph, [106.0, 442.0, 691.0, 18.0], N1e53DcP3S, 5732237]
[paragraph, [106.0, 460.0, 691.0, 18.0], N1e53DcP3S, 5732237]
[paragraph, [106.0, 478.0, 691.0, 18.0], N1e53DcP3S, 5732237]
[paragraph, [106.0, 496.0, 691.0, 18.0], N1e53DcP3S, 5732237]
[paragraph, [111.0, 528.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 546.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 564.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 582.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 600.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 618.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 636.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 654.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 672.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [111.0, 690.0, 688.0, 18.0], WA6J8CXe8_, 5732237]
[paragraph, [112.0, 715.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 733.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 751.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 769.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 787.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 805.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 823.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 841.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 859.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 877.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 895.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 913.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[paragraph, [112.0, 931.0, 693.0, 18.0], -21fpAGNMa, 5732237]
[section-title, [335.0, 959.0, 257.0, 30.0], RIYkdd_j4z, 5732237]
[paragraph, [121.0, 1012.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1030.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1048.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1066.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1084.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1102.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [121.0, 1120.0, 685.0, 18.0], 8qKxEkY5vZ, 5732237]
[paragraph, [119.0, 1151.0, 694.0, 18.0], xMRqN8e6Q6, 5732237]
[paragraph, [119.0, 1169.0, 694.0, 18.0], xMRqN8e6Q6, 5732237]
[paragraph, [119.0, 1187.0, 694.0, 18.0], xMRqN8e6Q6, 5732237]
[paragraph, [119.0, 1205.0, 694.0, 18.0], xMRqN8e6Q6, 5732237]
[paragraph, [119.0, 1223.0, 694.0, 18.0], xMRqN8e6Q6, 5732237]
