[2061, 1233]
[paragraph, [121.0, 115.0, 991.0, 36.0], AHrPvE-grw, 5692197]
[paragraph, [121.0, 151.0, 991.0, 36.0], AHrPvE-grw, 5692197]
[paragraph, [121.0, 187.0, 991.0, 36.0], AHrPvE-grw, 5692197]
[paragraph, [138.0, 456.0, 965.0, 36.0], shoonya_2s3QM9DXFDZQIS, 5692197]
[paragraph, [138.0, 492.0, 965.0, 36.0], shoonya_2s3QM9DXFDZQIS, 5692197]
[paragraph, [138.0, 528.0, 965.0, 36.0], shoonya_2s3QM9DXFDZQIS, 5692197]
[paragraph, [138.0, 564.0, 965.0, 36.0], shoonya_2s3QM9DXFDZQIS, 5692197]
[paragraph, [139.0, 625.0, 964.0, 36.0], shoonya_4sVSC7OXFG7HPM, 5692197]
[paragraph, [139.0, 661.0, 964.0, 36.0], shoonya_4sVSC7OXFG7HPM, 5692197]
[paragraph, [139.0, 697.0, 964.0, 36.0], shoonya_4sVSC7OXFG7HPM, 5692197]
[paragraph, [139.0, 733.0, 964.0, 36.0], shoonya_4sVSC7OXFG7HPM, 5692197]
[paragraph, [135.0, 799.0, 969.0, 36.0], shoonya_3sMQ9JYDY42JYP, 5692197]
[paragraph, [135.0, 835.0, 969.0, 36.0], shoonya_3sMQ9JYDY42JYP, 5692197]
[paragraph, [135.0, 871.0, 969.0, 36.0], shoonya_3sMQ9JYDY42JYP, 5692197]
[paragraph, [135.0, 907.0, 969.0, 36.0], shoonya_3sMQ9JYDY42JYP, 5692197]
[paragraph, [132.0, 973.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [132.0, 1009.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [132.0, 1045.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [132.0, 1081.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [132.0, 1117.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [132.0, 1153.0, 962.0, 36.0], shoonya_1s9QT55VIISYIB, 5692197]
[paragraph, [123.0, 1191.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1227.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1263.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1299.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1335.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1371.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1407.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1443.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1479.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1515.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1551.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1587.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1623.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1659.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1695.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1731.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1767.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1803.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
[paragraph, [123.0, 1839.0, 970.0, 36.0], shoonya_0sRQIO8OXS02CS, 5692197]
