[1634, 1040]
[paragraph, [93.0, 158.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 194.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 230.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 266.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 302.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 338.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 374.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 410.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 446.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 482.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 518.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 554.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 590.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 626.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 662.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [93.0, 698.0, 856.0, 36.0], shoonya_0sFP3VKIPD1H25, 5731020]
[paragraph, [92.0, 748.0, 855.0, 36.0], shoonya_3sXSVNG6BL9NK2, 5731020]
[paragraph, [92.0, 784.0, 855.0, 36.0], shoonya_3sXSVNG6BL9NK2, 5731020]
[paragraph, [92.0, 820.0, 855.0, 36.0], shoonya_3sXSVNG6BL9NK2, 5731020]
[paragraph, [92.0, 856.0, 855.0, 36.0], shoonya_3sXSVNG6BL9NK2, 5731020]
[paragraph, [92.0, 892.0, 855.0, 36.0], shoonya_3sXSVNG6BL9NK2, 5731020]
[paragraph, [91.0, 934.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 970.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 1006.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 1042.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 1078.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 1114.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [91.0, 1150.0, 856.0, 36.0], shoonya_1sF4QS28DEOBXD, 5731020]
[paragraph, [127.0, 1210.0, 820.0, 36.0], 4EwuZEs8UT, 5731020]
[paragraph, [127.0, 1246.0, 820.0, 36.0], 4EwuZEs8UT, 5731020]
[paragraph, [94.0, 1306.0, 853.0, 36.0], n_2J9ZES80, 5731020]
[paragraph, [94.0, 1342.0, 853.0, 36.0], n_2J9ZES80, 5731020]
[paragraph, [90.0, 1396.0, 862.0, 36.0], tKgiwJduYJ, 5731020]
[paragraph, [90.0, 1432.0, 862.0, 36.0], tKgiwJduYJ, 5731020]
[paragraph, [90.0, 1468.0, 862.0, 36.0], tKgiwJduYJ, 5731020]
[paragraph, [90.0, 1504.0, 862.0, 36.0], tKgiwJduYJ, 5731020]
