[1300, 900]
[folio, [267.0, 51.0, 398.0, 18.0], 0SElyYPdfU, 5731635]
[paragraph, [118.0, 114.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 132.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 150.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 168.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 186.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 204.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 222.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 240.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 258.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 276.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 294.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 312.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [118.0, 330.0, 692.0, 18.0], shoonya_0s86Y8KRCF5R12, 5731635]
[paragraph, [228.0, 366.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 384.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 402.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 420.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 438.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 456.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 474.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 492.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [228.0, 510.0, 483.0, 18.0], shoonya_3sSTXSW9QQCIEF, 5731635]
[paragraph, [109.0, 534.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 552.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 570.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 588.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 606.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 624.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 642.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 660.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 678.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 696.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [109.0, 714.0, 691.0, 18.0], shoonya_2sR437ZA10BT3F, 5731635]
[paragraph, [217.0, 739.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 757.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 775.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 793.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 811.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 829.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 847.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 865.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [217.0, 883.0, 494.0, 18.0], Ii04fJjFT2, 5731635]
[paragraph, [110.0, 913.0, 683.0, 18.0], Q61R2g31PU, 5731635]
[paragraph, [110.0, 931.0, 683.0, 18.0], Q61R2g31PU, 5731635]
[paragraph, [110.0, 949.0, 683.0, 18.0], Q61R2g31PU, 5731635]
[paragraph, [110.0, 967.0, 683.0, 18.0], Q61R2g31PU, 5731635]
[footnote, [110.0, 1030.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1048.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1066.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1084.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1102.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1120.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1138.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1156.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1174.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1192.0, 682.0, 18.0], ltafp30Au7, 5731635]
[footnote, [110.0, 1210.0, 682.0, 18.0], ltafp30Au7, 5731635]
