[2137, 1600]
[paragraph, [301.0, 94.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 130.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 166.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 202.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 238.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 274.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 310.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [301.0, 346.0, 1153.0, 36.0], shoonya_7s6QX4AGJ40OFI, 5660097]
[paragraph, [299.0, 421.0, 1156.0, 36.0], P6cC0L4zam, 5660097]
[paragraph, [299.0, 457.0, 1156.0, 36.0], P6cC0L4zam, 5660097]
[paragraph, [299.0, 493.0, 1156.0, 36.0], P6cC0L4zam, 5660097]
[paragraph, [299.0, 529.0, 1156.0, 36.0], P6cC0L4zam, 5660097]
[paragraph, [305.0, 593.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [305.0, 629.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [305.0, 665.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [305.0, 701.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [305.0, 737.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [305.0, 773.0, 1140.0, 36.0], shoonya_5sKXFFCDUZ1B9I, 5660097]
[paragraph, [296.0, 829.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 865.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 901.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 937.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 973.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 1009.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 1045.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 1081.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 1117.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [296.0, 1153.0, 1152.0, 36.0], shoonya_1sJX8KU9JVM7ZK, 5660097]
[paragraph, [297.0, 1231.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1267.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1303.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1339.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1375.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1411.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1447.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [297.0, 1483.0, 1140.0, 36.0], shoonya_0sL7Z2Y0CHTIGL, 5660097]
[paragraph, [298.0, 1544.0, 1135.0, 36.0], shoonya_2sGPUCTBFDLJJE, 5660097]
[paragraph, [298.0, 1580.0, 1135.0, 36.0], shoonya_2sGPUCTBFDLJJE, 5660097]
[paragraph, [298.0, 1616.0, 1135.0, 36.0], shoonya_2sGPUCTBFDLJJE, 5660097]
[paragraph, [293.0, 1698.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[paragraph, [293.0, 1734.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[paragraph, [293.0, 1770.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[paragraph, [293.0, 1806.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[paragraph, [293.0, 1842.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[paragraph, [293.0, 1878.0, 1141.0, 36.0], shoonya_3s7ARZJJ3RSZJY, 5660097]
[folio, [91.0, 1951.0, 175.0, 36.0], xvkitiPf8J, 5660097]
