[2200, 1700]
[paragraph, [263.0, 43.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 79.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 115.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 151.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 187.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 223.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 259.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 295.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 331.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 367.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 403.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 439.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 475.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 511.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 547.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 583.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 619.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 655.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 691.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 727.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 763.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 799.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [263.0, 835.0, 1108.0, 36.0], shoonya_0s3ROF5F8M7YHC, 5731781]
[paragraph, [271.0, 897.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 933.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 969.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1005.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1041.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1077.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1113.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1149.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1185.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1221.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1257.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1293.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1329.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1365.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1401.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1437.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1473.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1509.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1545.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1581.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1617.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1653.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1689.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1725.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1761.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1797.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1833.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[paragraph, [271.0, 1869.0, 1097.0, 36.0], shoonya_1sGWZ9OPJN97GL, 5731781]
[folio, [921.0, 1987.0, 371.0, 36.0], y2p7ybygdw, 5731781]
[folio, [921.0, 2023.0, 371.0, 36.0], y2p7ybygdw, 5731781]
