[1637, 1070]
[paragraph, [82.0, 72.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 108.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 144.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 180.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 216.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 252.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 288.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 324.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 360.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 396.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 432.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 468.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 504.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 540.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 576.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 612.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 648.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 684.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 720.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 756.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 792.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 828.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 864.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 900.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 936.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 972.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1008.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1044.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1080.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1116.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1152.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1188.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1224.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1260.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1296.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1332.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1368.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1404.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
[paragraph, [82.0, 1440.0, 910.0, 36.0], shoonya_0sDJVWLMWZBI37, 5654456]
