[842, 596]
[paragraph, [112.0, 113.0, 422.0, 18.0], shoonya_0sY6R3KJYJHZU2, 5746045]
[paragraph, [112.0, 131.0, 422.0, 18.0], shoonya_0sY6R3KJYJHZU2, 5746045]
[paragraph, [112.0, 149.0, 422.0, 18.0], shoonya_0sY6R3KJYJHZU2, 5746045]
[ordered-list, [146.0, 189.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 207.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 225.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 243.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 261.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 279.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 297.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 315.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 333.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 351.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 369.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 387.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 405.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 423.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 441.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 459.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 477.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 495.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 513.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 531.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 549.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 567.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 585.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 603.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 621.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 639.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 657.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 675.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 693.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
[ordered-list, [146.0, 711.0, 368.0, 18.0], shoonya_3s6LL8U5VAE9GQ, 5746045]
