[1500, 1050]
[folio, [203.0, 78.0, 208.0, 36.0], mtToaxgHrh, 5759847]
[paragraph, [196.0, 133.0, 695.0, 36.0], shoonya_0sASK384OXCFEV, 5759847]
[paragraph, [196.0, 169.0, 695.0, 36.0], shoonya_0sASK384OXCFEV, 5759847]
[paragraph, [196.0, 205.0, 695.0, 36.0], shoonya_0sASK384OXCFEV, 5759847]
[paragraph, [196.0, 241.0, 695.0, 36.0], shoonya_0sASK384OXCFEV, 5759847]
[paragraph, [196.0, 277.0, 695.0, 36.0], shoonya_0sASK384OXCFEV, 5759847]
[paragraph, [198.0, 332.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 368.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 404.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 440.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 476.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 512.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 548.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 584.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 620.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 656.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 692.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [198.0, 728.0, 692.0, 36.0], sUQ3ebdzoJ, 5759847]
[paragraph, [194.0, 793.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 829.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 865.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 901.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 937.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 973.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 1009.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [194.0, 1045.0, 689.0, 36.0], shoonya_1sOXI0NBR3VYFC, 5759847]
[paragraph, [192.0, 1119.0, 698.0, 36.0], uKcsxVXCf6, 5759847]
[paragraph, [192.0, 1155.0, 698.0, 36.0], uKcsxVXCf6, 5759847]
[paragraph, [192.0, 1191.0, 698.0, 36.0], uKcsxVXCf6, 5759847]
[paragraph, [234.0, 1266.0, 582.0, 36.0], 5IFeO7o9ME, 5759847]
[paragraph, [234.0, 1302.0, 582.0, 36.0], 5IFeO7o9ME, 5759847]
[paragraph, [234.0, 1338.0, 582.0, 36.0], 5IFeO7o9ME, 5759847]
