[1787, 1218]
[author, [929.0, 253.0, 183.0, 36.0], shoonya_0s238TF9W65F0D, 5651753]
[paragraph, [191.0, 427.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [191.0, 463.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [191.0, 499.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [191.0, 535.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [191.0, 571.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [191.0, 607.0, 289.0, 36.0], cagvgGEd-c, 5651753]
[paragraph, [296.0, 672.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [296.0, 708.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [296.0, 744.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [296.0, 780.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [296.0, 816.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [296.0, 852.0, 243.0, 36.0], j5IqyZtYhU, 5651753]
[paragraph, [194.0, 911.0, 374.0, 36.0], 4u_yAf-YTj, 5651753]
[paragraph, [194.0, 947.0, 374.0, 36.0], 4u_yAf-YTj, 5651753]
[paragraph, [194.0, 983.0, 374.0, 36.0], 4u_yAf-YTj, 5651753]
[paragraph, [194.0, 1019.0, 374.0, 36.0], 4u_yAf-YTj, 5651753]
[paragraph, [194.0, 1055.0, 374.0, 36.0], 4u_yAf-YTj, 5651753]
[paragraph, [290.0, 1106.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1142.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1178.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1214.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1250.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1286.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[paragraph, [290.0, 1322.0, 389.0, 36.0], pEwVPXLS2z, 5651753]
[footnote, [450.0, 1633.0, 231.0, 36.0], excGCZdYea, 5651753]
