[2200, 1700]
[paragraph, [372.0, 113.0, 1133.0, 36.0], shoonya_4sZOOF68L96JGT, 5733938]
[paragraph, [372.0, 149.0, 1133.0, 36.0], shoonya_4sZOOF68L96JGT, 5733938]
[paragraph, [372.0, 185.0, 1133.0, 36.0], shoonya_4sZOOF68L96JGT, 5733938]
[paragraph, [371.0, 246.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 282.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 318.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 354.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 390.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 426.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 462.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 498.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 534.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 570.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 606.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 642.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 678.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 714.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 750.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 786.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [371.0, 822.0, 1136.0, 36.0], shoonya_1sAQQA4CKX88WQ, 5733938]
[paragraph, [370.0, 883.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 919.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 955.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 991.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1027.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1063.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1099.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1135.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1171.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1207.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1243.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1279.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [370.0, 1315.0, 1135.0, 36.0], shoonya_0sKHCPAN5527EV, 5733938]
[paragraph, [372.0, 1457.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1493.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1529.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1565.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1601.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1637.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1673.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1709.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1745.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1781.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1817.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1853.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1889.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1925.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1961.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 1997.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
[paragraph, [372.0, 2033.0, 1134.0, 36.0], shoonya_2s78Z01C8HZJ1M, 5733938]
