[950, 553]
[chapter-title, [207.0, 35.0, 134.0, 30.0], shoonya_0s9RM3VNA8MF84, 5775780]
[paragraph, [20.0, 77.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 95.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 113.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 131.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 149.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 167.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 185.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 203.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 221.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 239.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 257.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 275.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 293.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 311.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 329.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 347.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 365.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 383.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [20.0, 401.0, 518.0, 18.0], Sh6PWDAYzA, 5775780]
[paragraph, [23.0, 421.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 439.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 457.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 475.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 493.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 511.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 529.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 547.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 565.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 583.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 601.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 619.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 637.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 655.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 673.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 691.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [23.0, 709.0, 519.0, 18.0], RkmT-8wcMs, 5775780]
[paragraph, [20.0, 710.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 728.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 746.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 764.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 782.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 800.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 818.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 836.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[paragraph, [20.0, 854.0, 527.0, 18.0], v9NM9k2UFW, 5775780]
[author, [455.0, 844.0, 67.0, 18.0], CT5EviR-jz, 5775780]
